,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
408036,Employee Allowance,Undistributed,NaN,CELL PHONE,NaN,Mobile Phone,Chief Operations Officer,NaN,Plant Maintenance & Operations,NaN,NaN,7.86E+02,NaN,NaN,General Fund,NaN
409789,Salaries for Support Personnel,Undistributed,NaN,SR. POLICE OFCR,NaN,General,School,1,Security & Monitoring Servicess,NaN,NaN,5.62E+04,NaN,NaN,General Fund,NaN
410754,General Supplies,Accelerated Education,NaN,NaN,Instruction And Curriculum,Postage,School,NaN,Community Services,NaN,Held Funds,4.58E+02,SUPPLIES & MATERIALS,NaN,"""Title  Part A Improving Basic Programs""",NaN
411318,Professional Salaries,Bilingual Education,NaN,ASST DIR-DU LAN,NaN,General,Bilingual / ESL,1,Instructional Leadership,NaN,NaN,1.01E+05,NaN,NaN,General Fund,NaN
412485,Capital Outlay,NaN,Special Instruction,NaN,NaN,Capital Outlay,NaN,NaN,Disadvantaged Youth *,NaN,NaN,NaN,NaN,NaN,Title I - Disadvantaged Children/Targeted Assistance,SCHOOLWIDE-AAPS
413483,Extra Duty/Signing Bonus Pay,Undistributed,NaN,DEPT CHAIR,NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,3.02E+03,NaN,NaN,General Fund,NaN
414076,Non-Employee Travel Expense,Accelerated Education,NaN,NaN,NaN,General,School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,1.24E+03,NaN,NaN,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",NaN
417016,Copier Rental,Basic Educational Services,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,Instruction,NaN,NaN,7.69E+03,NaN,NaN,General Fund,NaN
418447,Substitute Teachers,Basic Educational Services,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,Instruction,NaN,NaN,1.61E+04,NaN,NaN,General Fund,NaN
418612,Extra Duty/Overtime,Accelerated Education,NaN,NaN,NaN,Cycle  (used for grants),State/Federal Compliance & Accountability,NaN,Instructional Leadership,NaN,NaN,2.30E+03,NaN,NaN,Title I- Part A,NaN
418716,NaN,NaN,"SUMMER ED, ARTS & SPORTS - SEAS",Aide (Afterschool),NaN,NaN,OFC COM & ED PROG-AFTER SCHOOL AIDES,0.025,NaN,NaN,NaN,9.87E+02,AFTERSCHOOL PROGRAMS,NaN,NaN,NaN
419839,Salaries And Wages For Teachers And Other Professi,Basic Educational Services,Student Success Initiative Grant,"TEACHER, REGULAR",Instruction And Curriculum,Extended Week,School,NaN,Instruction,TEACHER BACHELOR,Basic Educational Services - District Objective,2.13E+02,NaN,NaN,Intensive Reading Instruction Initiative Grant,EXTENDED DAYS
421135,DUES AND FEES,PRIMARY GRADES PROGRAM,PRIMARY GRADES PROGRAM,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,1.65E+02,NaN,NaN,General Fund,NaN
421409,Professional Salaries,Special Education,NaN,LSSP INTERN-BIL,NaN,General,Special Ed Evaluation Services,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,6.00E+04,NaN,NaN,IDEA-B Formula,NaN
421626,Employee Allowance,Undistributed,NaN,CELL PHONE,NaN,Mobile Phone,Office of Planning and Community Relations,NaN,General Administration,NaN,NaN,5.24E+02,NaN,NaN,General Fund,NaN
422669,EMPLOYER PD MED CONTRIBUTION,NURSING SERVICES,GENERAL FUND,Nurse,NaN,NaN,SCHOOL NURSE SERVICES,NaN,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,1.67E+02,NaN,n/a,NaN,STUDENTS
423433,NaN,Gifted and Talented,NaN,NaN,NaN,Magnet School,School,NaN,School Leadership,NaN,NaN,3.10E+03,NaN,NaN,General Fund,NaN
424003,Extra Duty/Overtime,Undistributed,NaN,NaN,NaN,General,School,NaN,Food Services,NaN,NaN,4.22E+03,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
424725,Employee Allowance,Undistributed,NaN,CELL PHONE,NaN,Mobile Phone,District Police,NaN,Security & Monitoring Servicess,NaN,NaN,5.24E+02,NaN,NaN,General Fund,NaN
425156,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Dir, Human Resources",NaN,NaN,HUMAN RESOURCES,NaN,NON-PROJECT,UNDESIGNATED,NaN,-2.51E+01,NaN,n/a,NaN,EMPLOYEE BENEFITS
425575,Professional Salaries,Basic Educational Services,NaN,T-HS ROTC,NaN,ROTC,School,1,Instruction,NaN,NaN,8.10E+04,NaN,NaN,General Fund,NaN
425912,ADDITIONAL/EXTRA DUTY PAY/STIP,MALE ATHLETICS/SPORTS ACTIVITI,DISTRICT SPECIAL REVENUE FUNDS,Teacher Secondary (Middle),NaN,NaN,MIDDLE SCHOOL EDUCATION,NaN,PREP LEAGUE,PROFESSIONAL-INSTRUCTIONAL,NaN,9.26E+02,ATHLETICS,n/a,NaN,COCURRICULAR ED/ACTIVITIES
427120,NaN,UPPER ELEMENTARY GRADES PROGRAM,NaN,Teacher-Elementary,NaN,NaN,NaN,1,NaN,5TH GRADE,NaN,6.14E+04,NaN,NaN,General Fund,NaN
427148,ADDITIONAL/EXTRA DUTY PAY/STIP,SCHOOL SECURITY,GENERAL FUND,Campus Security Officer,NaN,NaN,NaN,NaN,PART TIME TEACHER,OFFICE/ADMINISTRATIVE SUPPORT,NaN,1.87E+03,SAFETY AND SECURITY,Regular,NaN,OPERATION AND MAINT OF PLANT
428696,Professional Salaries,Special Education,NaN,BIL LSSP,NaN,General,Special Ed Evaluation Services,1,Instruction,NaN,NaN,5.73E+04,NaN,NaN,General Fund,NaN
430687,Salaries for Support Personnel,Undistributed,NaN,HEAD CUST I,NaN,General,School,1,Plant Maintenance & Operations,NaN,NaN,4.25E+04,NaN,NaN,General Fund,NaN
433255,NaN,NURSES,NaN,Clinic Assistant,NaN,NaN,NaN,0.5,NaN,CLINIC ASSISTANT,NaN,9.94E+03,NaN,NaN,General Fund,NaN
434220,SALARIES OF REGULAR EMPLOYEES,LITERACY COACHES,LEVY OVERRIDE,"Facilitator,Elem",NaN,NaN,NaN,0.428892,FACILITATOR,PROFESSIONAL-INSTRUCTIONAL,NaN,2.33E+04,NaN,Regular,NaN,INSTRUCTIONAL STAFF
435248,TEMPORARY STUDENT WORKER,NaN,NaN,TEMPORARY STUDENT WORKER,NaN,NaN,HUMAN RESOURCES,NaN,STAFF SERVICES,NaN,NaN,6.70E+02,NaN,NaN,GENERAL FUND,NaN
435350,Part-Time Hourly,Special Education,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,2.52E+03,NaN,NaN,IDEA-B Formula,NaN
435487,SALARIES OF REGULAR EMPLOYEES,OTHER OPERATION & MAINTENANCE,CAPITAL RESERVE FUND,Project Manager,NaN,NaN,CONSTRUCTION SERVICES,0.160569,NON-PROJECT,PROFESSIONAL-OTHER,NaN,1.32E+04,FACILITY SERVICES,NaN,NaN,OPERATION AND MAINT OF PLANT
436672,Non-Employee Travel Expense,Undistributed,NaN,NaN,NaN,General,Board of Trustees,NaN,General Administration,NaN,NaN,3.60E+04,NaN,NaN,General Fund,NaN
440230,Salaries for Support Personnel,State Comp.Ed.-Support Title I Campuses,NaN,PARENT SUP SPEC,NaN,Account For Learning,School,0.5,Community Services,NaN,NaN,2.00E+04,NaN,NaN,General Fund,NaN
440734,REPAIR AND MAINTENANCE SERVICES,Misc,MISCELLANEOUS,NaN,NaN,NaN,ADMIN. SERVICES,NaN,MAINTENANCE AND OPERATING,NaN,NaN,3.85E+02,NaN,NaN,General Fund,NaN
441600,Salaries Or Wages For Support Personnel,Services To Students With Disabilities (Special Education),Operations,"CLASSROOM AIDE, SP.ED.,STR.LRN",All Campus Payroll,Salaries Or Wages For Support Personnel,School,1,Instruction,AB AIDE,NaN,2.43E+04,NaN,NaN,General Operating Fund,REGULAR PAY
442776,Salaries for Support Personnel,Undistributed,NaN,FOOD PROD SP I,NaN,General,School,0.5625,Food Services,NaN,NaN,1.35E+04,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
443183,Regular *,NaN,Vocational Instruction,"TCHR, MARKETING",NaN,Certificated Employees Salaries And Wages,SR OTH CERTIFICATED PERSON,1,Secondary Regular (Including Academic) and Independent Program *,NaN,NaN,9.64E+04,TEACHER,NaN,General,SCHOOL BASED MANAGEMENT
443535,Professional Salaries,Undistributed,NaN,ELEM ASST PRIN,NaN,General,School,0.5,School Leadership,NaN,NaN,3.35E+04,NaN,NaN,General Fund,NaN
443728,Food/Refreshment,Undistributed,NaN,NaN,NaN,General,Office of Innovation and Development,NaN,General Administration,NaN,NaN,9.00E+02,NaN,NaN,General Fund,NaN
448056,EMPLOYER PD MED CONTRIBUTION,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,General Assignment,NaN,NaN,ES TEAM,NaN,UNALLOC BUDGETS/SCHOOLS,PARAPROFESSIONAL,NaN,2.65E+02,NaN,n/a,NaN,REGULAR INSTRUCTION
449417,Salaries for Support Personnel,Special Education,NaN,BUS MONITOR,NaN,General,Transportation Office,1,Student Transportation,NaN,NaN,2.57E+04,NaN,NaN,General Fund,NaN
432615,Professional Salaries,High School Allotment,NaN,PROJECT SPC III,NaN,General,School,0.5,Curriculum & Instructional Staff Development,NaN,NaN,2.73E+04,NaN,NaN,General Fund,NaN
445186,Professional Salaries,Bilingual Education,NaN,T-EL 3RD ESL,NaN,General,School,1,Instruction,NaN,NaN,5.39E+04,NaN,NaN,General Fund,NaN
313805,Salaries for Support Personnel,Undistributed,NaN,CLERK IV- SCH,NaN,General,School,1,School Leadership,NaN,NaN,NaN,NaN,NaN,General Fund,NaN
183236,ADDITIONAL/EXTRA DUTY PAY/STIP,ITEMGB - CONSUMER AND FAMILY STU,ARRA - STIMULUS,"Teacher, Adult Voc Educ",NaN,NaN,OPPORTUNITY SCHOOL,NaN,ARRA EDUCATION STABILITAZION,PROFESSIONAL-INSTRUCTIONAL,NaN,3.49E+02,ADULT VOC ED OPPORTUNITY,Alternative,NaN,EDUCATION FOR ADULTS
167269,Professional Salaries,Basic Educational Services,NaN,T-MS CATE FAM/C,NaN,General,School,1,Instruction,NaN,NaN,5.41E+04,NaN,NaN,General Fund,NaN
263926,Personal Services - Education Assistants,Instruction - Regular,NaN,EDUCATIONAL ASSISTANT (CERA),NaN,NaN,NaN,1,NaN,EDUC ASST  - ELEM,Regular Instruction,2.69E+04,NaN,NaN,General Purpose School,NaN
149082,SALARIES OF PART TIME EMPLOYEE,FOOD PREPARATION/SERVING,FOOD SERVICE FUND,Food Service Worker II,NaN,NaN,NaN,0.155264,NON-PROJECT,"CRAFTS, TRADES, AND SERVICES",NaN,2.61E+03,FOOD SERVICES,Regular,NaN,FOOD SERVICES OPERATIONS
69443,General Supplies,Basic Educational Services,NaN,NaN,NaN,Art,School,NaN,Instruction,NaN,NaN,1.12E+03,NaN,NaN,General Fund,NaN
105504,NaN,HIGH SCHOOL GENERAL EDUCATION PROGRAM 9-12,NaN,Teacher-High School,NaN,NaN,NaN,1,NaN,ART,NaN,7.19E+04,NaN,NaN,General Fund,NaN
28448,Professional Salaries,Athletics and Related,NaN,T-HS ATHL,NaN,General,School,0.17,Cocurricular & Extra Curricular Activities,NaN,NaN,9.65E+03,NaN,NaN,Athletics,NaN
365526,Personal Services - Other Compensation,District Administration,NaN,NaN,SPECIAL EDUCATION,NaN,Central Office,0,NaN,Travel Allotment,IDEA Part B,6.98E+02,NaN,NaN,School Federal Projects,INDIVIDUALS WITH DISABILITIES ACT PART B
68117,Substitute Teachers,Basic Educational Services,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,Instruction,NaN,NaN,6.97E+03,NaN,NaN,General Fund,NaN
2960,Professional Salaries,Undistributed,NaN,COUNS- HS,NaN,General,School,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,7.93E+04,NaN,NaN,General Fund,NaN
52852,OTHER SUPPLIES,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,(blank),NaN,NaN,ES TEAM,NaN,NON-PROJECT,UNDESIGNATED,NaN,1.65E+02,INSTRUCTIONAL SUPPORT TEAMS,n/a,NaN,INSTRUCTIONAL STAFF
257871,TEACHER COVERAGE FOR TEACHER,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher,Retrd Shrt Term Sub",NaN,NaN,NaN,NaN,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,4.89E+01,TEACHER SUBS,Regular,NaN,REGULAR INSTRUCTION
448868,Other Professional and Technical Services,NaN,Support Services - Instructional Staff,NaN,NaN,Professional And Technical Services *,NaN,NaN,Service Area Direction *,NaN,NaN,-5.54E+04,NaN,NaN,School to Work,YEAR ROUND YOUTH TRAINING
444833,Career Ladder,Basic Educational Services,NaN,CL,NaN,General,School,NaN,Instruction,NaN,NaN,3.28E+03,NaN,NaN,General Fund,NaN
49108,Career Ladder,Basic Educational Services,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,1.64E+03,NaN,NaN,General Fund,NaN
282223,OTHER PERSONAL SERVICES,NaN,NaN,SUB TEACHER ALL,NaN,NaN,School,0,BASIC (FEFP K-12),NaN,NaN,1.23E+02,NaN,NaN,GENERAL FUND,NaN
88597,EQUIPMENT *,NaN,Community Services,NaN,NaN,Equipment *,NaN,NaN,Non-Public School Services *,NaN,NaN,-8.15E+03,NaN,NaN,Title I - Disadvantaged Children/Targeted Assistance,ITEMABED-NONPUBLIC/ID
332893,Substitute Teachers,Basic Educational Services,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,Instruction,NaN,NaN,5.71E+03,NaN,NaN,General Fund,NaN
107610,Professional Salaries,Basic Educational Services,NaN,SCI- GEN',NaN,General,School,1,Instruction,NaN,NaN,5.25E+04,NaN,NaN,General Fund,NaN
414345,Software,Basic Educational Services,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,Instruction,NaN,NaN,1.50E+03,NaN,NaN,General Fund,NaN
213178,Extra Duty/Signing Bonus Pay,Accelerated Education,NaN,NaN,NaN,SSIG,School,NaN,Instruction,NaN,NaN,1.70E+04,NaN,NaN,General Fund,NaN
154489,USDA Donated Commodities,Undistributed,NaN,NaN,NaN,General,School,NaN,Food Services,NaN,NaN,9.09E+03,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
385013,SALARIES OF REGULAR EMPLOYEES,SPECIAL EDUCATION-CONVERSION,GENERAL FUND,Teacher,NaN,NaN,NaN,0.350861,SPECIAL ED. - MILD/MODERATE,PROFESSIONAL-INSTRUCTIONAL,NaN,1.43E+04,NaN,Regular,NaN,SPECIAL EDUCATION
222011,Professional Salaries,State Comp.Ed.-Support Title I Campuses,NaN,MS ASST PRIN,NaN,General,School,0.34,School Leadership,NaN,NaN,2.56E+04,NaN,NaN,Title I- Part A,NaN
239240,Professional Salaries,Bilingual Education,NaN,T-HS ESL ENGLSH,NaN,General,School,0.2,Instruction,NaN,NaN,1.26E+04,NaN,NaN,General Fund,NaN
364523,Extra Duty/Signing Bonus Pay,Athletics and Related,NaN,"AHC, VAR FOOTBL",NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,7.35E+03,NaN,NaN,Athletics,NaN
192175,Professional Salaries,Accelerated Education,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,-1.05E+00,NaN,NaN,General Fund,NaN
59689,Professional Salaries,Undistributed,NaN,HS ASST PRIN,NaN,General,School,1,School Leadership,NaN,NaN,8.19E+04,NaN,NaN,General Fund,NaN
38243,ADDITIONAL/EXTRA DUTY PAY/STIP,GENERAL ELEMENTARY EDUCATION,ARRA - STIMULUS,"Teacher, Summer School",NaN,NaN,ALL SCHOOLS-UNDISTRIBUTED,NaN,TITLE I A - ARRA,PROFESSIONAL-INSTRUCTIONAL,NaN,3.17E+03,NaN,n/a,NaN,REGULAR INSTRUCTION
427928,Other Awards and Prizes,NaN,Support Services - Instructional Staff,NaN,NaN,Awards And Prizes *,NaN,NaN,Instruction And Curriculum Development Services *,NaN,NaN,-3.61E+02,NaN,NaN,Miscellaneous State Grants,TUTORIAL GRANT
216280,Extra Duty/Signing Bonus Pay,Basic Educational Services,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,5.17E+04,NaN,NaN,General Fund,NaN
263097,Salaries for Support Personnel,Special Education,NaN,TCHR ASST- SP E,NaN,General,School,1,Instruction,NaN,NaN,3.96E+04,NaN,NaN,General Fund,NaN
33145,Software,Accelerated Education,NaN,NaN,NaN,General,Guidance & Counseling,NaN,"Guidance, Counseling and Evaluation Services",NaN,NaN,NaN,NaN,NaN,General Fund,NaN
354579,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,Truancy Program Transition,NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,-2.45E+01,NaN,n/a,NaN,EMPLOYEE BENEFITS
246254,ADDITIONAL/EXTRA DUTY PAY/STIP,MALE ATHLETICS/SPORTS ACTIVITI,PUPIL ACTIVITY FUND,Asst Coach,NaN,NaN,ATHLETICS & STUDENT ACTIVITIES,NaN,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,2.75E+03,ATHLETICS,n/a,NaN,COCURRICULAR ED/ACTIVITIES
265358,Extra Duty/Signing Bonus Pay,Undistributed,NaN,NaN,NaN,Community Training and Assistance Center,School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,1.53E+04,NaN,NaN,General Fund,NaN
444641,OTHER PERSONAL SERVICES,NaN,NaN,SUB TEACHER ALL,NaN,NaN,School,0,BASIC (FEFP K-12),NaN,NaN,7.64E+01,NaN,NaN,CONVERSION CHARTER SCHOOLS,NaN
377852,EMPLOYEE BENEFITS,GENERAL K-8 EDUCATION,ARRA - STIMULUS,"Teacher, Intervention",NaN,NaN,NaN,NaN,TITLE I A - ARRA,PROFESSIONAL-INSTRUCTIONAL,NaN,1.65E+01,NaN,Regular,NaN,REGULAR INSTRUCTION
28643,SALARIES OF PART TIME EMPLOYEE,EARLY CHILDHOOD,DISTRICT SPECIAL REVENUE FUNDS,Early Childhood Education,NaN,NaN,NaN,0.437936,TUITION BASED - ECE,PARAPROFESSIONAL,NaN,NaN,NaN,Regular,NaN,REGULAR INSTRUCTION
385937,Field Trips,Special Education,NaN,NaN,NaN,General,ABD,NaN,Instruction,NaN,NaN,1.00E+03,NaN,NaN,General Fund,NaN
334081,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,Bus Driver  hr,NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,-2.14E+01,NaN,n/a,NaN,EMPLOYEE BENEFITS
364433,Professional Salaries,Undistributed,NaN,ELEM PRINCIPAL,NaN,General,School,1,School Leadership,NaN,NaN,1.00E+05,NaN,NaN,General Fund,NaN
192620,EMPLOYEE BENEFITS,AVID,GENERAL FUND,"Tutor, Avid",NaN,NaN,DISTRICT WIDE ORGANIZATION UNI,NaN,NON-PROJECT,PROFESSIONAL-OTHER,NaN,9.79E+01,UNDESIGNATED,n/a,NaN,REGULAR INSTRUCTION
217959,Other Pupil Transportation Services,NaN,Support Services - Instructional Staff,NaN,NaN,Pupil Transportation *,NaN,NaN,Instruction And Curriculum Development Services *,NaN,NaN,-1.85E+03,NaN,NaN,Special Trust,ITEMS FOUNDATION-JUNE
439372,Salaries And Wages For Substitute Professionals,Basic Educational Services,Operations,TEACHER SUBSTITUTE POOL,All Campus Payroll,Salaries And Wages For Substitute Teachers,School,NaN,Instruction,DEGREED SUBSTITUTE,Basic Educational Services - District Objective,9.51E+01,NaN,NaN,General Operating Fund,REGULAR PAY
450115,ADDITIONAL/EXTRA DUTY PAY/STIP,SPECIAL EDUCATION-CONVERSION,GENERAL FUND,"Teacher, Elementary",NaN,NaN,NaN,NaN,SPECIAL ED. - MILD/MODERATE,PROFESSIONAL-INSTRUCTIONAL,NaN,9.67E+02,NaN,Regular,NaN,SPECIAL EDUCATION
115002,Employee Allowance,Athletics and Related,NaN,TRAVEL,NaN,General,Athletics-External,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,1.05E+03,NaN,NaN,Athletics,NaN
411602,General Supplies,Basic Educational Services,NaN,NaN,NaN,Drama/Theater Arts,School,NaN,Instruction,NaN,NaN,2.50E+03,NaN,NaN,General Fund,NaN
123685,Maint: Bldg & Grounds,Career and Technology,NaN,NaN,NaN,Agriculture,School,NaN,Plant Maintenance & Operations,NaN,NaN,4.70E+03,NaN,NaN,General Fund,NaN
209374,General Supplies,State Comp.Ed.-Support Title I Campuses,NaN,NaN,NaN,General,School,NaN,"Guidance, Counseling and Evaluation Services",NaN,NaN,1.22E+03,NaN,NaN,Title I- Part A,NaN
412352,General Supplies,Basic Educational Services,NaN,NaN,NaN,School Nurse,School,NaN,Instruction,NaN,NaN,4.01E+02,NaN,NaN,General Fund,NaN
183577,Employee Allowance,Accelerated Education,NaN,CELL PHONE,NaN,Mobile Phone,Learning Support Services,NaN,Social Work Services,NaN,NaN,3.94E+02,NaN,NaN,General Fund,NaN
160374,ADDITIONAL/EXTRA DUTY PAY/STIP,INSTRUCTIONAL STAFF TRAINING,FEDERAL GDPG FUND - FY,"Teacher, Secondary (High)",NaN,NaN,HUMANITIES,NaN,TITLE II-PART A-TEACHER QUALIT,PROFESSIONAL-INSTRUCTIONAL,NaN,2.23E+02,HUMANITIES,n/a,NaN,INSTRUCTIONAL STAFF
1808,DUES AND FEES,STAFF DEVELOPMENT,STAFF DEVELOPMENT,NaN,NaN,NaN,NaN,NaN,IMPROVEMENT OF INSTR SERV,NaN,NaN,4.97E+02,NaN,NaN,General Fund,NaN
369397,Salaries And Wages For Substitute Professionals,Basic Educational Services,Operations,TEACHER SUBSTITUTE POOL,All Campus Payroll,Salaries And Wages For Substitute Teachers,School,NaN,Instruction,NON DEGREED SUBSTITUTE,Basic Educational Services - District Objective,8.70E+01,NaN,NaN,General Operating Fund,REGULAR PAY
41499,Professional Salaries,Special Education,NaN,BIL BEHAV SPEC,NaN,General,Special Education,1,Curriculum & Instructional Staff Development,NaN,NaN,6.27E+04,NaN,NaN,IDEA-B Formula,NaN
155234,General Supplies,Basic Educational Services,NaN,NaN,NaN,Family Consumer Science,School,NaN,Instruction,NaN,NaN,1.92E+03,NaN,NaN,General Fund,NaN
176991,Employee Allowances,"""Title I, Part A Schoolwide Activities Related To State Comp",State Ed. Allotment,"COUNSELOR, DRUG INTERVENTION",All Campus Payroll,Travel Allowances,School,NaN,"""Guidance, Counseling And Evaluation Services""",INTERVENTION SPECIALIST,NaN,5.62E+01,NaN,NaN,General Operating Fund,TRAVEL
237735,Equipment Maintenance Repairs,Undistributed,NaN,NaN,NaN,General,School,NaN,Food Services,NaN,NaN,1.29E+03,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
303084,NON-CAPITALIZED IMP NOT BLDGS,NaN,NaN,NaN,NaN,NaN,School,NaN,FACILITIES ACQ AND CONST,NaN,NaN,1.27E+03,NaN,NaN,MILLAGE,SITE IMPROVEMENT-Host Bgt
372602,Professional Salaries,Accelerated Education,NaN,LANG ARTS SP,NaN,Solution Team,Assoc Superintendent-High Schools,1,Curriculum & Instructional Staff Development,NaN,NaN,7.53E+04,NaN,NaN,Title I- Part A,NaN
263125,Professional Salaries,Basic Educational Services,NaN,T-EL ART,NaN,General,School,1,Instruction,NaN,NaN,5.25E+04,NaN,NaN,General Fund,NaN
142699,Professional Salaries,Bilingual Education,NaN,T-MS 7/8 ESL MA,NaN,Bilingual & Spec Lang,School,1,Instruction,NaN,NaN,7.61E+04,NaN,NaN,General Fund,NaN
241960,Regular *,NaN,Regular Instruction,"TCHR, SCNDY SOCIAL STUDIES",NaN,Certificated Employees Salaries And Wages,IN OTH CERTIFICATED PERSON,1,High School,NaN,NaN,1.03E+05,TEACHER,NaN,General,SCHOOL BASED MANAGEMENT
86293,Salaries for Support Personnel,Undistributed,NaN,CARPENTER,NaN,General,Service Center Bldg & Grounds,1,Plant Maintenance & Operations,NaN,NaN,5.12E+04,NaN,NaN,General Fund,NaN
118681,Professional Salaries,Undistributed,NaN,DIR- PURCH/MAT',NaN,General,Purchasing,1,General Administration,NaN,NaN,1.13E+05,NaN,NaN,General Fund,NaN
61625,SUPPLIES,Misc,MISCELLANEOUS,NaN,NaN,NaN,NaN,NaN,MAINTENANCE AND OPERATING,NaN,NaN,2.07E+03,NaN,NaN,General Fund,NaN
260175,WORKSHOP PARTICIPANT,NaN,NaN,BUS DRIVER,NaN,NaN,TRANSPORTATION,0,PUPIL TRANSPORTATION SERVICES,NaN,NaN,1.38E+01,NaN,NaN,GENERAL FUND,NaN
155731,NaN,PUPIL TRANSPORTATION,NaN,Bus Driver,NaN,NaN,Transportation,1,NaN,BUS DRIVER,NaN,4.21E+04,NaN,NaN,General Fund,NaN
156597,Professional Salaries,Prekindergarten,NaN,T-EL PK ESL,NaN,Pre-K,School,1,Instruction,NaN,NaN,6.32E+04,NaN,NaN,General Fund,NaN
387731,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,Bus Driver  to  Yrs,NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,-2.74E+01,NaN,n/a,NaN,EMPLOYEE BENEFITS
113544,Employee Allowance,Undistributed,NaN,CELL PHONE,NaN,Mobile Phone,School,NaN,School Leadership,NaN,NaN,5.23E+02,NaN,NaN,General Fund,NaN
2108,Salaries And Wages For Teachers And Other Professi,Services To Students With Disabilities (Special Education),Operations,"TEACHER, SPECIAL EDUCATION",All Campus Payroll,Salaries And Wages For Teachers And Other Professi,School,0.94,Instruction,TEACHER BACHELOR,NaN,4.81E+04,NaN,NaN,General Operating Fund,REGULAR PAY
305752,Salaries for Support Personnel,Special Education,NaN,BUS DRIVER,NaN,General,Transportation Office,0.5,Student Transportation,NaN,NaN,1.56E+04,NaN,NaN,General Fund,NaN
338625,Professional Salaries,Bilingual Education,NaN,T-EL KIN ESL,NaN,General,School,1,Instruction,NaN,NaN,6.30E+04,NaN,NaN,General Fund,NaN
144152,ADDITIONAL/EXTRA DUTY PAY/STIP,SOCIAL WORK SERVICES,STATE AND LOCAL GDPG FUND,SFPC Liaison Specialist,NaN,NaN,ADMISSIONS AND STUDENT RECORDS,NaN,EXPELLED AT RISK,PROFESSIONAL-INSTRUCTIONAL,NaN,1.42E+02,PREVENTION AND INTERVENTION,n/a,NaN,STUDENTS
373183,Personal Services - Teachers,Instruction - SPED,NaN,NaN,NaN,NaN,NaN,1,NaN,TEACHER - S.E  DAYS,Special Education Instruction,1.10E+04,NaN,NaN,General Purpose School,NaN
401303,Employee Travel  (including In-District and Out-of-District),Accelerated Education,NaN,NaN,NaN,Cycle  (used for grants),School,NaN,Community Services,NaN,NaN,3.00E+02,NaN,NaN,Century Community Learning,NaN
305314,Professional Salaries,Undistributed,NaN,HS ASST PRIN,NaN,General,School,1,School Leadership,NaN,NaN,8.08E+04,NaN,NaN,General Fund,NaN
126956,Professional Salaries,Special Education,NaN,BEHAVIOR SPEC,NaN,General,Special Education,1,Curriculum & Instructional Staff Development,NaN,NaN,5.90E+04,NaN,NaN,IDEA-B Formula,NaN
198284,Employee Allowance,Special Education,NaN,TRAVEL,NaN,General,Special Education,NaN,Curriculum & Instructional Staff Development,NaN,NaN,1.04E+03,NaN,NaN,General Fund,NaN
219669,SUPPLIES,SPECIAL EDUCATION CATEGORY III,CATEGORY III EXP ONLY SPECIAL ED,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,7.71E+01,NaN,NaN,General Fund,NaN
