,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
352367,Personal Services - Education Assistants,Instruction - SPED,NaN,NaN,NaN,NaN,NaN,0,NaN,SUBSTITUTE TEACHER,Special Education Instruction,112.6299,NaN,NaN,General Purpose School,NaN
353052,SALARIES OF PART TIME EMPLOYEE,GENERAL ELEMENTARY EDUCATION,MILL LEVY,"Teacher, Short Term Sub",NaN,NaN,NaN,0.002155,ALL DAY KINDERGARTEN,PROFESSIONAL-INSTRUCTIONAL,NaN,55.22397,NaN,Regular,NaN,REGULAR INSTRUCTION
355378,General Supplies,Basic Educational Services,NaN,NaN,NaN,Line Item that is paid with Campus money,School,NaN,Instruction,NaN,NaN,9519.92,NaN,NaN,General Fund,NaN
356127,Career Ladder,Special Education,NaN,CL,NaN,General,Center,NaN,Data Processing Services,NaN,NaN,3277.405,NaN,NaN,General Fund,NaN
356396,Professional Salaries,Special Education,NaN,OCCUP THER,NaN,Occupation Therapist,Special Education AH/VH,1,Instruction,NaN,NaN,79825.02,NaN,NaN,General Fund,NaN
356955,Extra Duty/Signing Bonus Pay,Special Education,NaN,NaN,NaN,Cycle (used for grants),School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,0.26,NaN,NaN,IDEA-B Formula,NaN
357326,Salaries And Wages For Teachers And Other Professi,"Title I, Part A Schoolwide Activities Related To State Comp",State Ed. Allotment,"TEACHER, REGULAR",Instruction And Curriculum,Extended Year,Summer School,NaN,Instruction,TEACHER BACHELOR,9th Grade Summer Remediation,NaN,NaN,NaN,General Operating Fund,EXTENDED YEAR
357837,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Elementary",NaN,NaN,NaN,NaN,ELA E-TEACHING SHELTERED ENG,PROFESSIONAL-INSTRUCTIONAL,NaN,120.85,NaN,Regular,NaN,REGULAR INSTRUCTION
358063,Extra Duty/Signing Bonus Pay,Undistributed,NaN,SPED DEPT CHAIR,NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,1445.442,NaN,NaN,General Fund,NaN
358706,Reproduction Services,State Comp.Ed.-Support Title I Campuses,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,1999.73,NaN,NaN,Title I- Part A,NaN
359007,Insurance & Bonding costs,Undistributed,NaN,NaN,NaN,Insurance-Property,Finance,NaN,Plant Maintenance & Operations,NaN,NaN,1094405,NaN,NaN,General Fund,NaN
359793,Employee Allowance,Undistributed,NaN,TRAVEL,NaN,General,Learning Support Services,NaN,Social Work Services,NaN,NaN,2392.476,NaN,NaN,General Fund,NaN
360977,Extra Duty/Signing Bonus Pay,Athletics and Related,NaN,"AC, JR VAR BB",NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,4890.377,NaN,NaN,Athletics,NaN
361871,Extra Duty/Signing Bonus Pay,Undistributed,NaN,FTO DIRECTOR,NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,1598.221,NaN,NaN,General Fund,NaN
361980,General Supplies,Basic Educational Services,NaN,NaN,NaN,Science,School,NaN,Instruction,NaN,NaN,100.8,NaN,NaN,General Fund,NaN
363135,Salaries And Wages For Substitute Professionals,Bilingual Education And Special Language Programs,Operations,TEACHER SUBSTITUTE POOL,All Campus Payroll,Salaries And Wages For Substitute Teachers,School,NaN,Instruction,NON DEGREED SUBSTITUTE,NaN,124.481,NaN,NaN,General Operating Fund,REGULAR PAY
363503,Salaries for Support Personnel,Special Education,NaN,TCHR ASST- SP E,NaN,General,School,1,Instruction,NaN,NaN,32991.81,NaN,NaN,General Fund,NaN
364131,EMPLOYER PD MED CONTRIBUTION,SOCIAL WORK SERVICES,GENERAL FUND,Social Worker,NaN,NaN,SOCIAL WORK SERVICES,NaN,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,318.98,NaN,n/a,NaN,STUDENTS
364494,Gas & Other Fuels,Undistributed,NaN,NaN,NaN,General,School,NaN,Plant Maintenance & Operations,NaN,NaN,6496.17,NaN,NaN,General Fund,NaN
364641,Misc Operating Expenses,Undistributed,NaN,NaN,NaN,General,Office of Facilities,NaN,Plant Maintenance & Operations,NaN,NaN,1000.16,NaN,NaN,General Fund,NaN
364745,Salaries for Support Personnel,Undistributed,NaN,A/C MECH III,NaN,General,Service Center Bldg & Grounds,1,Plant Maintenance & Operations,NaN,NaN,62508.76,NaN,NaN,General Fund,NaN
365486,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"School Counselor, High Sch",NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,-864.56,NaN,n/a,NaN,EMPLOYEE BENEFITS
366107,Salaries for Support Personnel,Undistributed,NaN,BUS DRIVER,NaN,General,Transportation Office,1,Student Transportation,NaN,NaN,31168.28,NaN,NaN,General Fund,NaN
366136,Insurance & Bonding costs,Undistributed,NaN,NaN,NaN,Insurance-Vehicles,Finance,NaN,Plant Maintenance & Operations,NaN,NaN,502246.2,NaN,NaN,General Fund,NaN
367357,ADDITIONAL/EXTRA DUTY PAY/STIP,SUPPORT SERVICES-INSTRUCTIONAL,ARRA - STIMULUS,"Coordinator, Central Curr",NaN,NaN,TEACHER LEARNING & LEADERSHIP,NaN,TEACHER INCENTIVE FUND (TIF),PROFESSIONAL-INSTRUCTIONAL,NaN,219.72,TIF GRANT,n/a,NaN,INSTRUCTIONAL STAFF
368838,SALARIES OF PART TIME EMPLOYEE,EARLY CHILDHOOD,ITEMGD PRESCHOOL PROGRAM,"Teacher, Short Term Sub",NaN,NaN,NaN,0.00431,ELPA - PRESCHOOL PROG,PROFESSIONAL-INSTRUCTIONAL,NaN,109.5479,NaN,Regular,NaN,REGULAR INSTRUCTION
370611,Insurance & Bonding costs,Undistributed,NaN,NaN,NaN,Insurance-Others,Finance,NaN,Plant Maintenance & Operations,NaN,NaN,5981.12,NaN,NaN,General Fund,NaN
370762,Extra Duty Pay/Overtime For Support Personnel,Undistributed,Operations,CUSTODIAN REGULAR,Custodial Department,Extra Duty Pay/Overtime For Support Personnel,School,NaN,Facilities Maintenance And Operations,ANY CUS WHO IS NOT A SUPER,NaN,149.96,NaN,NaN,General Operating Fund,ADDL REGULAR PAY-NOT SMOOTHED
370832,Miscellaneous Contracted Srvcs,Undistributed,NaN,NaN,NaN,Laundry,School,NaN,Food Services,NaN,NaN,688.65,NaN,NaN,Natl Schl Breakfast & Lunch Prog.,NaN
370909,EMPLOYER PD MED CONTRIBUTION,EARLY CHILDHOOD,ITEMGD PRESCHOOL PROGRAM,"Teacher, Elementary",NaN,NaN,NaN,NaN,ELPA - PRESCHOOL PROG,PROFESSIONAL-INSTRUCTIONAL,NaN,251.93,NaN,Regular,NaN,REGULAR INSTRUCTION
372741,PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE,VOCATIONAL LABORATORY PROGRAM 9-12,VOCATIONAL LABORATORY PROGRAM 9-12,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,-0.39,NaN,NaN,General Fund,NaN
372772,Purchased Services,NaN,Support Services - Instructional Staff,NaN,NaN,Purchased Services,NaN,NaN,Instruction And Curriculum Development Services *,NaN,NaN,10000.08,NaN,NaN,Special Trust,#NAME?
375702,Salaries for Support Personnel,Undistributed,NaN,CUSTODIAN I,NaN,General,School,1,Plant Maintenance & Operations,NaN,NaN,31813.76,NaN,NaN,General Fund,NaN
377080,COPYING,SUPPORT SERVICES-INSTRUCTIONAL,GENERAL FUND,(blank),NaN,NaN,CHIEF ACADEMIC OFFICER,NaN,NON-PROJECT,UNDESIGNATED,NaN,3350.91,CHIEF ACADEMIC OFFICER,n/a,NaN,INSTRUCTIONAL STAFF
377408,Data Processing Services,NaN,Support Services - Instructional Staff,NaN,NaN,Professional And Technical Services *,NaN,NaN,Instruction And Curriculum Development Services *,NaN,NaN,3999.64,NaN,NaN,Special Trust,TEACHER DISTRIBUTION PROJ
379139,Group Health And Life Insurance,Basic Educational Services,Operations,NaN,Campus Overtime,Group Health And Life Insurance,Undistributed,NaN,Instruction,TEACHER DOCTORAL,Basic Educational Services - District Objective,329.75,NaN,NaN,General Operating Fund,EMPLOYER MEDICAL FRINGE
381612,TERMINAL LEAVE SICK,NaN,NaN,BOOKKEEPER I,NaN,NaN,School,NaN,SCH ADMIN (OFFICE OF PRINC),NaN,NaN,6234.83,NaN,NaN,GENERAL FUND,TERMINAL LEAVE
381669,Department Chair Supp,NaN,NaN,GRADE LEVEL/DEPT CHA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2897.32,NaN,NaN,NaN,NaN
382538,SALARIES FOR OVERTIME,OTHER FACILITIES ACQUISITION,BUILDING FUND,Custodian - PT - Jobs,NaN,NaN,CONSTRUCTION SERVICES,NaN,ADM GOB,"CRAFTS, TRADES, AND SERVICES",NaN,333.7071,BOND EXPENDITURES,NaN,NaN,OTHER FACILITIES ACQUISITION
386768,Professional Salaries,Undistributed,NaN,COUNS- MS,NaN,General,School,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,57649.95,NaN,NaN,General Fund,NaN
387223,Professional Salaries,Accelerated Education,NaN,COUNS- ELEM,NaN,General,School,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,60501.04,NaN,NaN,General Fund,NaN
388288,EMPLOYEE BENEFITS,SPECIAL EDUCATION-VISION,ARRA - STIMULUS,"Teacher, Itinerant",NaN,NaN,SPECIAL EDUCATION,NaN,IDEA ARRA,PROFESSIONAL-INSTRUCTIONAL,NaN,423.18,NaN,n/a,NaN,SPECIAL EDUCATION
388383,EMPLOYEE BENEFITS,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,"Teacher,Retrd Shrt Term Sub",NaN,NaN,NaN,NaN,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,2.22,NaN,Regular,NaN,INSTRUCTIONAL STAFF
389254,Student Meals/Room/Other,Prekindergarten,NaN,NaN,NaN,Line Item that is paid with Campus money,Pre-K Center,NaN,Instruction,NaN,NaN,199.68,NaN,NaN,General Fund,NaN
390270,Salary Adjustments,State Comp.Ed.-Support Title I Campuses,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,0.86,NaN,NaN,Title I- Part A,NaN
390559,Salaries And Wages For Teachers And Other Professi,"Title I, Part A Schoolwide Activities Related To State Comp",Title Part A Improving Basic Programs,"TEACHER, REGULAR",Instruction And Curriculum,Extended Day,School,NaN,Instruction,TEACHER BACHELOR,NaN,234.8458,NaN,NaN,Title Part A Improving Basic Programs,MISCELLANEOUS
391519,OTHER PERSONAL SERVICES,NaN,NaN,SUB TEACHER ALL,NaN,NaN,School,0,INST STAFF TRAINING SVCS,NaN,NaN,76.4,NaN,NaN,GENERAL FUND,INTENSIVE READING DOP - SAI
392190,EMPLOYEE BENEFITS,SUPPORT SERVICES-INSTRUCTIONAL,GENERAL FUND,"Supt, Instructional",NaN,NaN,ES TEAM,NaN,NON-PROJECT,ADMINISTRATOR,NaN,1730.59,INSTRUCTIONAL SUPPORT TEAMS,n/a,NaN,INSTRUCTIONAL STAFF
392841,Professional Salaries,Special Education,NaN,LSSP INTERN,NaN,General,Special Ed Evaluation Services,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,57208.83,NaN,NaN,IDEA-B Formula,NaN
394759,Salaries for Support Personnel,Accelerated Education,NaN,CHILD CARE WKR,NaN,Child Care Program-Full Day,School,0.1,Community Services,NaN,NaN,3980.897,NaN,NaN,Apprenticeship,NaN
394971,Salaries for Support Personnel,Special Education,NaN,BUS DRIVER,NaN,General,Transportation Office,0.9896,Student Transportation,NaN,NaN,34170.71,NaN,NaN,General Fund,NaN
396885,Salaries for Support Personnel,Undistributed,NaN,ACCTG TECH I,NaN,General,Medicaid,1,General Administration,NaN,NaN,43406.93,NaN,NaN,Medicaid,NaN
397215,Professional Salaries,Special Education,NaN,BIL LSSP,NaN,General,Special Ed Evaluation Services,0.8,"Guidance, Counseling and Evaluation Services",NaN,NaN,51845.74,NaN,NaN,IDEA-B Formula,NaN
397550,EDUCATIONAL,INSTRUCTIONAL PROGRAMS,LOCAL,NaN,NaN,NaN,NaN,NaN,NaN,SUPPLIES AND MATERIALS,NaN,30570.13,GENERAL EDUCATION,NaN,LOCAL FUND,NaN
399177,OTHER SUPPLIES,SUPPORT SERVICES-SCHOOL ADMIN,DISTRICT SPECIAL REVENUE FUNDS,(blank),NaN,NaN,CHIEF ACADEMIC OFFICER,NaN,SUMMER LEADERSHIP - PRINCIPALS,UNDESIGNATED,NaN,43704.3,NaN,n/a,NaN,SCHOOL ADMINISTRATION
401240,Professional Salaries,NaN,NaN,Bilingual Speech Language Pathologist,NaN,NaN,Special Education,1,NaN,NaN,NaN,60943.4,NaN,NaN,General Fund,NaN
401646,Salaries for Support Personnel,State Comp.Ed.-Support Title I Campuses,NaN,ACCTG TECH III,NaN,General,School,0.2,School Leadership,NaN,NaN,9200.788,NaN,NaN,Title I Priority Schools Grant Program,NaN
401700,EQUIPMENT,OPERATION AND MAINT OF PLANT,BOND,(blank),NaN,NaN,NaN,NaN,RGN GOB,UNDESIGNATED,NaN,18349.28,BOND EXPENDITURES,Turnaround,NaN,OPERATION AND MAINT OF PLANT
402596,Non Food,Undistributed,NaN,NaN,NaN,General,School,NaN,Food Services,NaN,NaN,14605.57,NaN,NaN,Natl Schl Breakfast & Lunch Prog.,NaN
404502,Salaries for Support Personnel,Undistributed,NaN,ADMIN ASST III,NaN,General,Educator Quality,1,Curriculum & Instructional Staff Development,NaN,NaN,47286.85,NaN,NaN,General Fund,NaN
404630,Professional Salaries,Basic Educational Services,NaN,T-MS LEAD ACAD,NaN,General,School,1,Instruction,NaN,NaN,57825.73,NaN,NaN,General Fund,NaN
405178,Food/Refreshment,Undistributed,NaN,NaN,NaN,Line Item that is paid with Campus money,School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,NaN,NaN,NaN,General Fund,NaN
405429,Equipment Maintenance Repairs,Undistributed,NaN,NaN,NaN,General,Office of Facilities,NaN,Plant Maintenance & Operations,NaN,NaN,999.33,NaN,NaN,General Fund,NaN
406466,Salaries for Support Personnel,Undistributed,NaN,BENEFITS COORD,NaN,General,Finance,0.5,General Administration,NaN,NaN,31363.23,NaN,NaN,General Fund,NaN
406934,Miscellaneous Operating Costs,Accelerated Education,NaN,NaN,Instruction And Curriculum,Fees (Not Associated With Travel),School,NaN,Curriculum Development And Instructional Staff Dev,NaN,Creating Qualified Teachers,480.09,TRAVEL,NaN,Esea Title Ii Part A Teacher & Principal Training,NaN
407514,Professional Salaries,Undistributed,NaN,COUNS- HS,NaN,General,School,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,74771.52,NaN,NaN,General Fund,NaN
408036,Employee Allowance,Undistributed,NaN,CELL PHONE,NaN,Mobile Phone,Chief Operations Officer,NaN,Plant Maintenance & Operations,NaN,NaN,786.4013,NaN,NaN,General Fund,NaN
409789,Salaries for Support Personnel,Undistributed,NaN,SR. POLICE OFCR,NaN,General,School,1,Security & Monitoring Servicess,NaN,NaN,56186.86,NaN,NaN,General Fund,NaN
410754,General Supplies,Accelerated Education,NaN,NaN,Instruction And Curriculum,Postage,School,NaN,Community Services,NaN,Held Funds,458.1,SUPPLIES & MATERIALS,NaN,Title Part A Improving Basic Programs,NaN
411318,Professional Salaries,Bilingual Education,NaN,ASST DIR-DU LAN,NaN,General,Bilingual / ESL,1,Instructional Leadership,NaN,NaN,101015.4,NaN,NaN,General Fund,NaN
412485,Capital Outlay,NaN,Special Instruction,NaN,NaN,Capital Outlay,NaN,NaN,Disadvantaged Youth *,NaN,NaN,NaN,NaN,NaN,Title I - Disadvantaged Children/Targeted Assistance,SCHOOLWIDE-AAPS
413483,Extra Duty/Signing Bonus Pay,Undistributed,NaN,DEPT CHAIR,NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,3021.569,NaN,NaN,General Fund,NaN
414076,Non-Employee Travel Expense,Accelerated Education,NaN,NaN,NaN,General,School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,1236.13,NaN,NaN,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",NaN
417016,Copier Rental,Basic Educational Services,NaN,NaN,NaN,Line Item that is paid with Campus money,School,NaN,Instruction,NaN,NaN,7685.73,NaN,NaN,General Fund,NaN
418447,Substitute Teachers,Basic Educational Services,NaN,NaN,NaN,Line Item that is paid with Campus money,School,NaN,Instruction,NaN,NaN,16082.41,NaN,NaN,General Fund,NaN
418612,Extra Duty/Overtime,Accelerated Education,NaN,NaN,NaN,Cycle (used for grants),State/Federal Compliance & Accountability,NaN,Instructional Leadership,NaN,NaN,2297.93,NaN,NaN,Title I- Part A,NaN
418716,NaN,NaN,"SUMMER ED, ARTS & SPORTS - SEAS",Aide (Afterschool),NaN,NaN,OFC COM & ED PROG-AFTER SCHOOL AIDES,0.025,NaN,NaN,NaN,986.5898,AFTERSCHOOL PROGRAMS,NaN,NaN,NaN
419839,Salaries And Wages For Teachers And Other Professi,Basic Educational Services,Student Success Initiative Grant,"TEACHER, REGULAR",Instruction And Curriculum,Extended Week,School,NaN,Instruction,TEACHER BACHELOR,Basic Educational Services - District Objective,212.92,NaN,NaN,Intensive Reading Instruction Initiative Grant,EXTENDED DAYS
421135,DUES AND FEES,PRIMARY GRADES PROGRAM,PRIMARY GRADES PROGRAM,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,165.22,NaN,NaN,General Fund,NaN
421409,Professional Salaries,Special Education,NaN,LSSP INTERN-BIL,NaN,General,Special Ed Evaluation Services,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,59989.67,NaN,NaN,IDEA-B Formula,NaN
421626,Employee Allowance,Undistributed,NaN,CELL PHONE,NaN,Mobile Phone,Office of Planning and Community Relations,NaN,General Administration,NaN,NaN,524.0009,NaN,NaN,General Fund,NaN
422669,EMPLOYER PD MED CONTRIBUTION,NURSING SERVICES,GENERAL FUND,Nurse,NaN,NaN,SCHOOL NURSE SERVICES,NaN,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,167,NaN,n/a,NaN,STUDENTS
423433,NaN,Gifted and Talented,NaN,NaN,NaN,Magnet School,School,NaN,School Leadership,NaN,NaN,3098.68,NaN,NaN,General Fund,NaN
424003,Extra Duty/Overtime,Undistributed,NaN,NaN,NaN,General,School,NaN,Food Services,NaN,NaN,4219.427,NaN,NaN,Natl Schl Breakfast & Lunch Prog.,NaN
424725,Employee Allowance,Undistributed,NaN,CELL PHONE,NaN,Mobile Phone,District Police,NaN,Security & Monitoring Servicess,NaN,NaN,524.3709,NaN,NaN,General Fund,NaN
425156,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Dir, Human Resources",NaN,NaN,HUMAN RESOURCES,NaN,NON-PROJECT,UNDESIGNATED,NaN,-25.14,NaN,n/a,NaN,EMPLOYEE BENEFITS
425575,Professional Salaries,Basic Educational Services,NaN,T-HS ROTC,NaN,ROTC,School,1,Instruction,NaN,NaN,81007.22,NaN,NaN,General Fund,NaN
425912,ADDITIONAL/EXTRA DUTY PAY/STIP,MALE ATHLETICS/SPORTS ACTIVITI,DISTRICT SPECIAL REVENUE FUNDS,Teacher Secondary (Middle),NaN,NaN,MIDDLE SCHOOL EDUCATION,NaN,PREP LEAGUE,PROFESSIONAL-INSTRUCTIONAL,NaN,926.4359,ATHLETICS,n/a,NaN,COCURRICULAR ED/ACTIVITIES
427120,NaN,UPPER ELEMENTARY GRADES PROGRAM,NaN,Teacher-Elementary,NaN,NaN,NaN,1,NaN,5TH GRADE,NaN,61392.03,NaN,NaN,General Fund,NaN
427148,ADDITIONAL/EXTRA DUTY PAY/STIP,SCHOOL SECURITY,GENERAL FUND,Campus Security Officer,NaN,NaN,NaN,NaN,PART TIME TEACHER,OFFICE/ADMINISTRATIVE SUPPORT,NaN,1874.2,SAFETY AND SECURITY,Regular,NaN,OPERATION AND MAINT OF PLANT
428696,Professional Salaries,Special Education,NaN,BIL LSSP,NaN,General,Special Ed Evaluation Services,1,Instruction,NaN,NaN,57293.36,NaN,NaN,General Fund,NaN
430687,Salaries for Support Personnel,Undistributed,NaN,HEAD CUST I,NaN,General,School,1,Plant Maintenance & Operations,NaN,NaN,42481.58,NaN,NaN,General Fund,NaN
433255,NaN,NURSES,NaN,Clinic Assistant,NaN,NaN,NaN,0.5,NaN,CLINIC ASSISTANT,NaN,9943.97,NaN,NaN,General Fund,NaN
434220,SALARIES OF REGULAR EMPLOYEES,LITERACY COACHES,LEVY OVERRIDE,"Facilitator,Elem",NaN,NaN,NaN,0.428892,FACILITATOR,PROFESSIONAL-INSTRUCTIONAL,NaN,23250.77,NaN,Regular,NaN,INSTRUCTIONAL STAFF
435248,TEMPORARY STUDENT WORKER,NaN,NaN,TEMPORARY STUDENT WORKER,NaN,NaN,HUMAN RESOURCES,NaN,STAFF SERVICES,NaN,NaN,669.68,NaN,NaN,GENERAL FUND,NaN
435350,Part-Time Hourly,Special Education,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,2523.134,NaN,NaN,IDEA-B Formula,NaN
435487,SALARIES OF REGULAR EMPLOYEES,OTHER OPERATION & MAINTENANCE,CAPITAL RESERVE FUND,Project Manager,NaN,NaN,CONSTRUCTION SERVICES,0.160569,NON-PROJECT,PROFESSIONAL-OTHER,NaN,13153.43,FACILITY SERVICES,NaN,NaN,OPERATION AND MAINT OF PLANT
436672,Non-Employee Travel Expense,Undistributed,NaN,NaN,NaN,General,Board of Trustees,NaN,General Administration,NaN,NaN,36000.66,NaN,NaN,General Fund,NaN
440230,Salaries for Support Personnel,State Comp.Ed.-Support Title I Campuses,NaN,PARENT SUP SPEC,NaN,Account For Learning,School,0.5,Community Services,NaN,NaN,20005.59,NaN,NaN,General Fund,NaN
440734,REPAIR AND MAINTENANCE SERVICES,Misc,MISCELLANEOUS,NaN,NaN,NaN,ADMIN. SERVICES,NaN,MAINTENANCE AND OPERATING,NaN,NaN,385.27,NaN,NaN,General Fund,NaN
441600,Salaries Or Wages For Support Personnel,Services To Students With Disabilities (Special Education),Operations,"CLASSROOM AIDE, SP.ED.,STR.LRN",All Campus Payroll,Salaries Or Wages For Support Personnel,School,1,Instruction,AB AIDE,NaN,24288.11,NaN,NaN,General Operating Fund,REGULAR PAY
442776,Salaries for Support Personnel,Undistributed,NaN,FOOD PROD SP I,NaN,General,School,0.5625,Food Services,NaN,NaN,13542.28,NaN,NaN,Natl Schl Breakfast & Lunch Prog.,NaN
443183,Regular *,NaN,Vocational Instruction,"TCHR, MARKETING",NaN,Certificated Employees Salaries And Wages,SR OTH CERTIFICATED PERSON,1,Secondary Regular (Including Academic) and Independent Program *,NaN,NaN,96393.42,TEACHER,NaN,General,SCHOOL BASED MANAGEMENT
443535,Professional Salaries,Undistributed,NaN,ELEM ASST PRIN,NaN,General,School,0.5,School Leadership,NaN,NaN,33497.8,NaN,NaN,General Fund,NaN
443728,Food/Refreshment,Undistributed,NaN,NaN,NaN,General,Office of Innovation and Development,NaN,General Administration,NaN,NaN,899.88,NaN,NaN,General Fund,NaN
448056,EMPLOYER PD MED CONTRIBUTION,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,General Assignment,NaN,NaN,ES TEAM,NaN,UNALLOC BUDGETS/SCHOOLS,PARAPROFESSIONAL,NaN,264.68,NaN,n/a,NaN,REGULAR INSTRUCTION
449417,Salaries for Support Personnel,Special Education,NaN,BUS MONITOR,NaN,General,Transportation Office,1,Student Transportation,NaN,NaN,25718.69,NaN,NaN,General Fund,NaN
432615,Professional Salaries,High School Allotment,NaN,PROJECT SPC III,NaN,General,School,0.5,Curriculum & Instructional Staff Development,NaN,NaN,27325.66,NaN,NaN,General Fund,NaN
445186,Professional Salaries,Bilingual Education,NaN,T-EL 3RD ESL,NaN,General,School,1,Instruction,NaN,NaN,53864.57,NaN,NaN,General Fund,NaN
313805,Salaries for Support Personnel,Undistributed,NaN,CLERK IV- SCH,NaN,General,School,1,School Leadership,NaN,NaN,NaN,NaN,NaN,General Fund,NaN
183236,ADDITIONAL/EXTRA DUTY PAY/STIP,ITEMGB - CONSUMER AND FAMILY STU,ARRA - STIMULUS,"Teacher, Adult Voc Educ",NaN,NaN,OPPORTUNITY SCHOOL,NaN,ARRA EDUCATION STABILITAZION,PROFESSIONAL-INSTRUCTIONAL,NaN,348.96,ADULT VOC ED OPPORTUNITY,Alternative,NaN,EDUCATION FOR ADULTS
167269,Professional Salaries,Basic Educational Services,NaN,T-MS CATE FAM/C,NaN,General,School,1,Instruction,NaN,NaN,54113,NaN,NaN,General Fund,NaN
263926,Personal Services - Education Assistants,Instruction - Regular,NaN,EDUCATIONAL ASSISTANT (CERA),NaN,NaN,NaN,1,NaN,EDUC ASST - ELEM,Regular Instruction,26878.84,NaN,NaN,General Purpose School,NaN
149082,SALARIES OF PART TIME EMPLOYEE,FOOD PREPARATION/SERVING,FOOD SERVICE FUND,Food Service Worker II,NaN,NaN,NaN,0.155264,NON-PROJECT,"CRAFTS, TRADES, AND SERVICES",NaN,2611.559,FOOD SERVICES,Regular,NaN,FOOD SERVICES OPERATIONS
69443,General Supplies,Basic Educational Services,NaN,NaN,NaN,Art,School,NaN,Instruction,NaN,NaN,1123.35,NaN,NaN,General Fund,NaN
105504,NaN,HIGH SCHOOL GENERAL EDUCATION PROGRAM 9-12,NaN,Teacher-High School,NaN,NaN,NaN,1,NaN,ART,NaN,71878.63,NaN,NaN,General Fund,NaN
28448,Professional Salaries,Athletics and Related,NaN,T-HS ATHL,NaN,General,School,0.17,Cocurricular & Extra Curricular Activities,NaN,NaN,9654.733,NaN,NaN,Athletics,NaN
365526,Personal Services - Other Compensation,District Administration,NaN,NaN,SPECIAL EDUCATION,NaN,Central Office,0,NaN,Travel Allotment,IDEA Part B,698.1899,NaN,NaN,School Federal Projects,INDIVIDUALS WITH DISABILITIES ACT PART B
68117,Substitute Teachers,Basic Educational Services,NaN,NaN,NaN,Line Item that is paid with Campus money,School,NaN,Instruction,NaN,NaN,6966.03,NaN,NaN,General Fund,NaN
2960,Professional Salaries,Undistributed,NaN,COUNS- HS,NaN,General,School,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,79329.42,NaN,NaN,General Fund,NaN
52852,OTHER SUPPLIES,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,(blank),NaN,NaN,ES TEAM,NaN,NON-PROJECT,UNDESIGNATED,NaN,165.48,INSTRUCTIONAL SUPPORT TEAMS,n/a,NaN,INSTRUCTIONAL STAFF
257871,TEACHER COVERAGE FOR TEACHER,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher,Retrd Shrt Term Sub",NaN,NaN,NaN,NaN,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,48.88512,TEACHER SUBS,Regular,NaN,REGULAR INSTRUCTION
448868,Other Professional and Technical Services,NaN,Support Services - Instructional Staff,NaN,NaN,Professional And Technical Services *,NaN,NaN,Service Area Direction *,NaN,NaN,-55404.3,NaN,NaN,School to Work,YEAR ROUND YOUTH TRAINING
444833,Career Ladder,Basic Educational Services,NaN,CL,NaN,General,School,NaN,Instruction,NaN,NaN,3278.015,NaN,NaN,General Fund,NaN
49108,Career Ladder,Basic Educational Services,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,1638.778,NaN,NaN,General Fund,NaN
282223,OTHER PERSONAL SERVICES,NaN,NaN,SUB TEACHER ALL,NaN,NaN,School,0,BASIC (FEFP K-12),NaN,NaN,122.9,NaN,NaN,GENERAL FUND,NaN
