,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
82236,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Unspecified,Non-Position,Travel & Conferences,Non PreK,PreK-12 Operating,Non-Certificated Travel Reimbursement,NaN,Fiscal Services,NaN,NaN,NaN,Travel Mileage/Meeting Expense *,NaN,NaN,Payroll Services,NaN,NaN,3.20E+03,NaN,General,PAYROLL
82360,Physical Health & Services,Pupil Services & Enrichment,School Reported,School,Unspecified,Nurse,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,NaN,GENERAL FUND,Health Technician,Regular,NaN,NaN,NaN,0.739087,NON-PROJECT,NaN,PARAPROFESSIONAL,1.18E+04,NURSING SERVICES,NaN,STUDENTS
82433,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,NaN,GENERAL FUND,"Manager, Disbursing",n/a,NaN,NaN,DISBURSING,NaN,NON-PROJECT,NaN,UNDESIGNATED,-1.15E+03,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
82812,School Administration,Leadership,School Reported,School,Unspecified,Vice Principal,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,NaN,Operations,SCHOOL PRINCIPAL,NaN,Undistributed,Salaries And Wages For Teachers And Other Professi,School,0.09,School Leadership,All Campus Payroll,ASST PRIN HIGH SCHOOL,7.15E+03,Undistributed,General Operating Fund,REGULAR PAY
82951,Insurance,Business Services,School Reported,School,Unspecified,NO_LABEL,Other Non-Compensation,Non PreK,PreK-12 Operating,Insurance And Bonding Costs,NaN,NaN,NaN,NaN,Undistributed,Insurance And Bonding Costs,School,NaN,School Leadership,NaN,NaN,7.17E+01,Undistributed,General Operating Fund,NaN
83056,Student Assignment,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,NaN,Operations,"CLERICAL, SCHOOL ADMIN.",NaN,Undistributed,Salaries Or Wages For Support Personnel,School,0.19,School Leadership,All Campus Payroll,REGISTRAR,3.84E+03,Undistributed,General Operating Fund,REGULAR PAY
83520,School Administration,Leadership,School Reported,School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,GENERAL SUPPLIES,NaN,GENERAL FUND,(blank),Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,UNDESIGNATED,1.70E+02,SUPPORT SERVICES-SCHOOL ADMIN,NaN,SCHOOL ADMINISTRATION
84217,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",SALARIES OF PART TIME EMPLOYEE,NaN,DISTRICT SPECIAL REVENUE FUNDS,Community School Child Care,NaN,NaN,NaN,COMMUNITY EDUCATION,0.24689,CAMPS,NaN,PARAPROFESSIONAL,5.25E+03,COMMUNITY SERVICE,NaN,COMMUNITY SERVICES OPERATION
84493,Facilities & Maintenance,O&M,School Reported,School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,NON-CAPITALIZED COMPUTER HARDW,NaN,NaN,NaN,NaN,NaN,NaN,School,NaN,OPERATION OF PLANT,NaN,NaN,2.46E+02,NaN,GENERAL FUND,SCHOOL OPERATING ACCOUNT
84540,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,INSTRUCTIONAL SUPPORT TEAMS,GENERAL FUND,Administrators,n/a,NaN,NaN,ES TEAM,0.28125,NON-PROJECT,NaN,ADMINISTRATOR,3.64E+04,SUPPORT SERVICES-INSTRUCTIONAL,NaN,INSTRUCTIONAL STAFF
84583,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,NaN,GENERAL FUND,Custodian Asst I,n/a,NaN,NaN,NaN,NaN,EMPLOYEE RETIREMENT,NaN,UNDESIGNATED,2.40E+02,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
84870,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,NaN,Operations,"TRANSPORTATION,BUS DRIVERS,REG",NaN,transportation - Second Runs,Extra Duty Pay/Overtime For Support Personnel,Unallocated,NaN,Transportation,Transportation Department,BUS DRIVER,6.37E+01,Undistributed,General Operating Fund,EXTENDED DAYS
85063,Facilities & Maintenance,O&M,School Reported,School,Unspecified,NO_LABEL,Contracted Services,Non PreK,PreK-12 Operating,Contracted Maintenance And Repair,NaN,NaN,NaN,NaN,Basic Educational Services - District Objective,Contracted Maintenance And Repair - Furniture And,School,NaN,Instruction,"Technology Department, Administration",NaN,3.25E+02,Basic Educational Services,General Operating Fund,NaN
85892,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Alternative,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Teachers,NaN,NaN,NaN,NaN,Alternative Schools Instruction,NaN,District Wide Resources,0,NaN,NaN,TIME CARD CERTIFIEDAddl,1.33E+03,Instruction - Regular,General Purpose School,NaN
85908,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,NaN,Operations,CUSTODIAN REGULAR,NaN,NaN,Extra Duty Pay/Overtime For Support Personnel,School,NaN,Facilities Maintenance And Operations,Custodial Department,HEAD CUS MIDDLE SCHOOL,2.11E+03,Undistributed,General Operating Fund,OVERTIME
87233,Other Compensation,Instruction,Shared Services,Non-School,Unspecified,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,NaN,Operations,"TRANSPORTATION,BUS DRIVERS,REG",NaN,transportation - Second Runs,Extra Duty Pay/Overtime For Support Personnel,Unallocated,NaN,Transportation,Transportation Department,BUS DRIVER,2.75E+01,Undistributed,General Operating Fund,FIELD TRIPS
87236,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,NaN,Operations,"TEACHER, SPECIAL EDUCATION",NaN,NaN,Critical Needs Incentive,School,NaN,Instruction,All Campus Payroll,TEACHER BACHELOR,1.56E+03,Services To Students With Disabilities (Special Education),General Operating Fund,CRITICAL NEEDS SUPPLEMENT
87306,Recruitment,ISPD,Shared Services,Non-School,Unspecified,Substitute,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,HUMAN RESOURCES RECRUITMENT,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Short Term Sub",n/a,NaN,NaN,HUMAN RESOURCES,NaN,NEW TEACHER RECRUITMENT,NaN,PROFESSIONAL-INSTRUCTIONAL,3.87E+01,SUPPORT SERVICES-INSTRUCTIONAL,NaN,INSTRUCTIONAL STAFF
87398,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Student Transportation Purchased from Other Sources,NaN,Community Services,NaN,NaN,NaN,Pupil Transportation *,NaN,NaN,Other Community Services *,NaN,NaN,-4.66E+02,NaN,Title I - Disadvantaged Children/Targeted Assistance,TITLE I PI+HOMELESS
87476,Other Compensation,Instruction,School Reported,School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,NaN,GENERAL FUND,Program Specialist,n/a,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,UNDESIGNATED,-1.22E+03,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
87537,Facilities Planning,Business Services,Leadership & Management,Non-School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,OTHER SUPPORT PERSONNEL,NaN,NaN,SECRETARY II,NaN,NaN,NaN,GROWTH,0.893945,"PLANNING,RES,DEV,& EVAL",NaN,NaN,3.28E+04,NaN,GENERAL FUND,NaN
87621,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,NaN,GENERAL EDUCATION,LOCAL,"TEACHER,ENGLISH",NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1.20E+05,NaN,NaN,NaN
88061,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Unspecified,Guidance Counselor,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,NaN,GENERAL FUND,"School Counselor, High Sch",Turnaround,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,7.75E+03,GUIDANCE SERVICES,NaN,STUDENTS
88268,Recruitment,ISPD,Shared Services,Non-School,Unspecified,Substitute,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,HUMAN RESOURCES RECRUITMENT,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Short Term Sub",n/a,NaN,NaN,HUMAN RESOURCES,NaN,NEW TEACHER RECRUITMENT,NaN,PROFESSIONAL-INSTRUCTIONAL,3.80E+01,SUPPORT SERVICES-INSTRUCTIONAL,NaN,INSTRUCTIONAL STAFF
88273,Parent & Community Relations,NO_LABEL,School Reported,School,NO_LABEL,Other,NO_LABEL,NO_LABEL,PreK-12 Operating,NaN,NaN,NaN,School Liaison,NaN,NaN,NaN,NaN,1,NaN,NaN,BILINGUAL,2.57E+04,Misc,General Fund,NaN
89135,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ALL OTHER SUPPLEMENTS,NaN,NaN,MECHANIC,NaN,NaN,NaN,TRANSPORTATION,0,PUPIL TRANSPORTATION SERVICES,NaN,NaN,5.93E+01,NaN,GENERAL FUND,NaN
89198,Untracked Budget Set-Aside,Untracked Budget Set-Aside,School Reported,School,Poverty,Teacher,Benefits,NO_LABEL,PreK-12 Operating,FICA,NaN,NaN,FAMILY/SCHOOL LIAISON,NaN,NaN,NaN,School,NaN,INST & CURRICULUM DEV SVCS,NaN,NaN,-4.00E-01,NaN,FED THRU STATE-CASH ADVANCE,TITLE I
89901,Facilities & Maintenance,O&M,Leadership & Management,Non-School,Unspecified,Sec/Clerk/Other Admin,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,ITEMGG-CIO/CTO,GENERAL FUND,"Secretary, Executive II",n/a,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,OFFICE/ADMINISTRATIVE SUPPORT,3.90E+03,INFORMATION SYSTEMS SERVICES,NaN,CENTRAL
90155,Curriculum Development,ISPD,Leadership & Management,Non-School,Alternative,Non-Position,Contracted Services,NO_LABEL,PreK-12 Operating,PROF SERVICE FEES AND CONTR,LOCAL GRANTS ADMINISTRATION,VOCATIONAL EDUCATION - CARL D. PERKINS,NaN,NaN,NaN,NaN,OFFICE OF CAREER AND TECHNICAL EDUCATION,NaN,NaN,NaN,OTHER SERVICES & CHARGES,1.30E+05,INSTRUCTIONAL SUPPORT SERVICES,INTRADISTRICT FUNDS,NaN
90333,Physical Health & Services,Pupil Services & Enrichment,Leadership & Management,Non-School,Special Education,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,MEDICAID,DISTRICT SPECIAL REVENUE FUNDS,Vision Screening Tech II,n/a,NaN,NaN,SPECIAL EDUCATION,NaN,MEDICAID,NaN,OFFICE/ADMINISTRATIVE SUPPORT,2.09E+01,NURSING SERVICES,NaN,STUDENTS
91431,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Other Utilities Services *,NaN,Support Services - Administration,NaN,NaN,NaN,Utilities Services,NaN,NaN,State and Federal Projects Coordination Services*,NaN,NaN,-4.04E+02,NaN,School to Work,ITEMAI-CITY-YTH EMP & OPP
91654,NO_LABEL,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating,OTHER PURCHASED SERVICES,NaN,MISCELLANEOUS,NaN,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,3.27E+02,Misc,General Fund,NaN
91813,Substitute Compensation,Instruction,School Reported,School,Unspecified,Librarian,Substitute Compensation,NO_LABEL,PreK-12 Operating,TEACHER COVERAGE FOR TEACHER,TEACHER SUBS,GENERAL FUND,"Teacher, Librarian Elem",Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,2.55E+02,GENERAL ELEMENTARY EDUCATION,NaN,REGULAR INSTRUCTION
91844,Library & Media,Instruction,School Reported,School,Unspecified,Librarian,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,NaN,GENERAL FUND,"Teacher, Librarian Elem",Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,8.42E+01,SCHOOL LIBRARY SERVICES,NaN,INSTRUCTIONAL STAFF
91861,Special Population Program Management & Support,ISPD,School on Central Budgets,Non-School,Special Education,Psychologist,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Psychologists,NaN,NaN,PSYCHOLOGIST (SPECIAL ED,NaN,Special Education Support,NaN,District Wide Resources,1,NaN,PSYCHOLOGICAL SERVICES,PSYCHOLOGICAL,8.07E+04,Principal's Office,General Purpose School,NaN
91886,Utilities,O&M,Shared Services,Non-School,Unspecified,Non-Position,Rent/Utilities,NO_LABEL,PreK-12 Operating,NATURAL GAS,OPERATIONS - UTILITIES,GENERAL FUND,(blank),n/a,NaN,NaN,CONTEMPORARY LEARNING ZUNI,NaN,NON-PROJECT,NaN,UNDESIGNATED,7.00E+03,CARE & UPKEEP OF BLDG SERVICES,NaN,OPERATION AND MAINT OF PLANT
92013,School Administration,Leadership,School Reported,School,Unspecified,Principal,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,ADMINISTRATOR,NaN,NaN,PRINCIPAL-MIDDLE,NaN,NaN,NaN,School,1,SCH ADMIN (OFFICE OF PRINC),NaN,NaN,1.13E+05,NaN,GENERAL FUND,NaN
92046,Legal,Business Services,Leadership & Management,Non-School,Unspecified,Non-Position,Contracted Services,NO_LABEL,PreK-12 Operating,LEGAL SERVICES,LEGAL SERVICES,GENERAL FUND,(blank),n/a,NaN,NaN,SCHOOL ATTORNEY,NaN,NON-PROJECT,NaN,UNDESIGNATED,1.30E+05,LEGAL SERVICES,NaN,GENERAL ADMINISTRATION
92872,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Psychologist,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,NaN,GENERAL FUND,Psychologist,Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,2.19E+02,GENERAL HIGH SCHOOL EDUCATION,NaN,REGULAR INSTRUCTION
92889,Curriculum Development,ISPD,School Reported,School,Unspecified,Non-Position,Supplies/Materials,Non PreK,PreK-12 Operating,Other General Supplies,NaN,Support Services - Instructional Staff,NaN,NaN,NaN,General Supplies *,NaN,NaN,Instruction And Curriculum Development Services *,NaN,NaN,-1.80E+03,NaN,Special Trust,INTEL ISEF MINORITY OUTRE
93099,Library & Media,Instruction,School Reported,School,Unspecified,Librarian,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,NaN,GENERAL FUND,"Teacher, Librarian Elem",Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,2.63E+03,GENERAL ELEMENTARY EDUCATION,NaN,REGULAR INSTRUCTION
93637,Insurance,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating,OTHER PURCHASED SERVICES,NaN,NaN,NaN,NaN,NaN,NaN,RISK MANAGEMENT,NaN,STAFF SERVICES,NaN,NaN,3.00E+04,NaN,GENERAL FUND,RISK MANAGEMENT
93642,Parent & Community Relations,Pupil Services & Enrichment,School Reported,School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,NaN,GENERAL FUND,Studnt Parnt Famly Involvmt,n/a,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,UNDESIGNATED,-4.46E+02,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
94499,Student Transportation,O&M,School Reported,School,Unspecified,Non-Position,Travel & Conferences,NO_LABEL,PreK-12 Operating,TRAVEL - LOCAL,TRANSPORTATION,LOCAL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,OTHER SERVICES & CHARGES,7.00E+03,INSTRUCTIONAL SUPPORT SERVICES,LOCAL FUND,NaN
94531,School Administration,Leadership,School Reported,School,Poverty,Sec/Clerk/Other Admin,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,NaN,FEDERAL GDPG FUND - FY,Secretary II,Regular,NaN,NaN,NaN,NaN,TITLE I - CENTRAL PROGRAMS,NaN,PARAPROFESSIONAL,6.12E+01,COMMUNITY SERVICE,NaN,COMMUNITY SERVICES OPERATION
94649,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,OTHER PERSONAL SERVICES,NaN,NaN,SUB TEACHER ALL,NaN,NaN,NaN,School,0,BASIC (FEFP K-12),NaN,NaN,1.63E+02,NaN,GENERAL FUND,NaN
95168,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplies and Materials,NaN,Support Services - Instructional Staff,NaN,NaN,NaN,Supplies And Materials,NaN,NaN,Instruction And Curriculum Development Services *,NaN,NaN,1.43E+03,NaN,Special Trust,ITEMS-VARIOUS GRANTS
95432,Student Assignment,Leadership,School Reported,School,Poverty,Sec/Clerk/Other Admin,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,NaN,Title  Part A Improving Basic Programs,"CLERICAL, SCHOOL ADMIN.",NaN,Extra Duty,Extra Duty Pay/Overtime For Support Personnel,School,NaN,School Leadership,Instruction And Curriculum,REGISTRAR,3.20E+02,"Title I, Part A Schoolwide Activities Related To State Comp",Title  Part A Improving Basic Programs,MISCELLANEOUS
95516,Professional Development,ISPD,Shared Services,Non-School,ELL,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,NaN,FEDERAL GDPG FUND - FY,Project Coordinator,n/a,NaN,NaN,ENGLISH FOR SPEAKERS OF OTHER,NaN,TITLE III  ELA,NaN,PROFESSIONAL-OTHER,1.57E+03,INSTRUCTIONAL STAFF TRAINING,NaN,INSTRUCTIONAL STAFF
95848,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub",Turnaround,NaN,NaN,NaN,0.038793,UNALLOC BUDGETS/SCHOOLS,NaN,PROFESSIONAL-INSTRUCTIONAL,9.88E+02,GENERAL HIGH SCHOOL EDUCATION,NaN,REGULAR INSTRUCTION
96320,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,NaN,Operations,TEACHER SUBSTITUTE POOL,NaN,NaN,Salaries And Wages For Substitute Teachers,School,NaN,Instruction,All Campus Payroll,DEGREED SUBSTITUTE,9.43E+01,Bilingual Education And Special Language Programs,General Operating Fund,REGULAR PAY
96693,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Capital Outlay,NaN,Community Services,NaN,NaN,NaN,Capital Outlay,NaN,NaN,Non-Public School Services *,NaN,NaN,3.91E+03,NaN,Title I - Disadvantaged Children/Targeted Assistance,ARRA - NONPUBLIC SET ASID
96926,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Regular *,NaN,Community Services,NaN,NaN,NaN,Certificated Employees Salaries And Wages,NaN,NaN,Non-Public School Services *,NaN,NaN,-5.44E+03,NaN,Title I - Disadvantaged Children/Targeted Assistance,ARRA - NONPUBLIC SET ASID
96966,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Occupational Therapist,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,NaN,GENERAL FUND,Occupational Therapist,n/a,NaN,NaN,SPECIAL EDUCATION,NaN,EMPLOYEE RETIREMENT,NaN,UNDESIGNATED,8.42E+02,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
97081,Security & Safety,O&M,School Reported,School,Unspecified,School Monitor/Security,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,SAFETY AND SECURITY,GENERAL FUND,Campus Security Officer,Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,OFFICE/ADMINISTRATIVE SUPPORT,1.42E+02,SCHOOL SECURITY,NaN,OPERATION AND MAINT OF PLANT
97650,Legal,Business Services,Leadership & Management,Non-School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,COPYING,LEGAL SERVICES,GENERAL FUND,(blank),n/a,NaN,NaN,SCHOOL ATTORNEY,NaN,NON-PROJECT,NaN,UNDESIGNATED,3.69E+03,LEGAL SERVICES,NaN,GENERAL ADMINISTRATION
98121,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub",Regular,NaN,NaN,NaN,0.00431,UNALLOC BUDGETS/SCHOOLS,NaN,PROFESSIONAL-INSTRUCTIONAL,1.10E+02,GENERAL ELEMENTARY EDUCATION,NaN,REGULAR INSTRUCTION
98488,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Teachers,NaN,NaN,NaN,NaN,Regular Instruction,NaN,NaN,0,NaN,NaN,CCOACH CERT TCHRACCT,4.52E+03,Instruction - Regular,General Purpose School,NaN
98925,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,ADDITIONAL INCOME ALLOWANCE,SCHOOL LEADERSHIP,LOCAL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.20E-01,SCHOOL SYSTEM MAGEMENT,LOCAL FUND,NaN
99049,Security & Safety,O&M,School Reported,School,Unspecified,School Monitor/Security,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,NaN,Principals' Budgets,SECURITY OFFICER,NaN,Undistributed,Extra Duty Pay/Overtime For Support Personnel,School,NaN,Security And Monitoring Services,NaN,POLICE PATROL MAN,1.28E+02,Undistributed,General Operating Fund,ADDL REGULAR PAY-NOT SMOOTHED
99178,Governance,Leadership,Leadership & Management,Non-School,Unspecified,NO_LABEL,Other Non-Compensation,Non PreK,PreK-12 Operating,Miscellaneous Operating Costs,NaN,NaN,NaN,NaN,NaN,Fees (Not Associated With Travel),School Board,NaN,General Administration,School Board,NaN,1.77E+03,Undistributed,General Operating Fund,NaN
99397,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,NaN,GENERAL FUND,Route Scheduler II,n/a,NaN,NaN,TRANSPORTATION,NaN,NON-PROJECT,NaN,PROFESSIONAL-OTHER,5.04E+02,PUPIL TRANSPORTATION SERVICES,NaN,STUDENT TRANSPORTATION
99832,Student Transportation,NO_LABEL,Shared Services,Non-School,NO_LABEL,Other,NO_LABEL,NO_LABEL,PreK-12 Operating,NaN,NaN,NaN,Bus Driver,NaN,NaN,NaN,Transportation,1,NaN,NaN,BUS DRIVER,2.19E+04,PUPIL TRANSPORTATION,General Fund,NaN
100282,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Guidance Counselor,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,OTHER CERTIFIED,NaN,NaN,COUNSELOR-MIDDLE,NaN,NaN,NaN,School,0.47,GUIDANCE SERVICES,NaN,NaN,3.01E+04,NaN,GENERAL FUND,NaN
100587,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,Non PreK,PreK-12 Operating,Miscellaneous Operating Costs,NaN,NaN,NaN,NaN,Basic Educational Services - District Objective,Software License - Web Access,School,NaN,Instruction,Finance Department,NaN,5.67E+02,Basic Educational Services,General Operating Fund,NaN
101228,Food Services,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,NaN,SCHOOL NUTRITION SERVICE,NaN,NaN,NaN,NaN,NaN,NaN,SCHOOL NUTRITION,NaN,NaN,1.09E+03,Misc,School Nutrition Service Fund,NaN
101397,Substitute Compensation,Instruction,School Reported,School,Alternative,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Substitute Teachers Certified,NaN,NaN,NaN,NaN,Alternative Schools Instruction,NaN,NaN,0,NaN,NaN,SUBSTITUTE TEACHER,7.01E+01,Instruction - Regular,General Purpose School,NaN
102346,Curriculum Development,NO_LABEL,School Reported,School,NO_LABEL,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,Department Chair Supp,NaN,NaN,GRADE LEVEL/DEPT CHA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.68E+03,NaN,NaN,NaN
102517,Curriculum Development,ISPD,School Reported,School,Poverty,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,EXTRA DUTY PAY-INSTRUCTIONAL,NaN,NaN,"TEACHER, SECOND",NaN,NaN,NaN,School,NaN,INST & CURRICULUM DEV SVCS,WRITING TEAMS,NaN,3.39E+02,NaN,FED THRU STATE-CASH ADVANCE,TITLE I
102533,Security & Safety,O&M,School Reported,School,Unspecified,School Monitor/Security,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,SAFETY AND SECURITY,GENERAL FUND,Campus Security Officer,Alternative,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,OFFICE/ADMINISTRATIVE SUPPORT,3.01E+02,SCHOOL SECURITY,NaN,OPERATION AND MAINT OF PLANT
