type,x,y
Traditional French restaurant,256984.16144201314,6250554.028808237
Traditional French restaurant,263649.9725507149,6250982.942078416
European restuarant,263639.17456010776,6251041.654973637
Asian restaurant,263723.1094561664,6251914.613151526
Asian restaurant,261108.43725641404,6245796.155837875
European restuarant,261534.902225644,6245679.648617332
Maghrebian restaurant,261671.60256033766,6245832.342731707
Traditional French restaurant,261621.39746998966,6245768.085736949
Traditional French restaurant,261814.64810600612,6245735.619230167
Asian restaurant,262083.59599576393,6246115.248401562
Asian restaurant,262683.2740926676,6245396.419312124
Asian restaurant,261764.55433514935,6246025.962149088
Traditional French restaurant,261675.94402047875,6246464.116396927
Traditional French restaurant,261661.02720871297,6246451.771331765
Indian / Middle Eastern restaurant,261959.80872200237,6246803.52817916
European restuarant,262021.03444193717,6246669.41915856
European restuarant,261189.25520672946,6246335.085987926
African restaurant,262123.44837346688,6256267.379272043
African restaurant,261791.71629090267,6256029.507020136
Asian restaurant,257786.10705368925,6254070.40496626
Asian restaurant,257786.10705368925,6254070.40496626
Indian / Middle Eastern restaurant,257786.10705368925,6254070.40496626
European restuarant,262212.9492440645,6254071.928329282
European restuarant,256624.59948675105,6250398.542537402
Traditional French restaurant,259194.29861222353,6250737.26602107
Traditional French restaurant,259117.48816357553,6250711.886669204
Traditional French restaurant,263724.2226510759,6251718.997720087
European restuarant,263712.9793825038,6251712.059885504
African restaurant,263438.13155973615,6252057.774021057
Maghrebian restaurant,264938.94093461125,6252273.535222996
Traditional French restaurant,264692.590901486,6252100.418152145
Traditional French restaurant,261054.89258134319,6246872.69746975
European restuarant,261074.03953375889,6246803.697296538
Traditional French restaurant,261177.01006274193,6246951.507178573
Traditional French restaurant,261116.67489873417,6246940.852604269
Indian / Middle Eastern restaurant,261272.0769078814,6247078.179255246
Traditional French restaurant,261581.43377279546,6247213.986001898
Traditional French restaurant,260707.68708955988,6247270.135878205
Traditional French restaurant,259667.40644809618,6247719.517422087
Traditional French restaurant,259498.75741954317,6247528.903671739
Traditional French restaurant,259510.89124403946,6247951.40559277
Caribbean restaurant,259526.2533337702,6247972.379015308
Traditional French restaurant,259431.52044710444,6248006.714649769
European restuarant,259334.1158926604,6247940.58062081
Asian restaurant,259055.14924873124,6248033.100749143
Asian restaurant,258913.3282174607,6248003.6701051295
Maghrebian restaurant,261484.3631768223,6255248.215658245
Maghrebian restaurant,261330.74227952913,6256251.464478575
Asian restaurant,261161.42533403155,6256198.471818147
European restuarant,261606.81461669473,6253746.273401395
Traditional French restaurant,261385.40014950666,6253174.037988889
Asian restaurant,261377.71910464272,6253099.909167646
Traditional French restaurant,259762.25065425035,6250416.814987049
Asian restaurant,259823.14241571428,6250003.156685076
Traditional French restaurant,259815.3500513591,6249950.033933436
European restuarant,259812.1217861275,6250011.615752712
European restuarant,260144.6331051275,6249999.096335611
Traditional French restaurant,264875.9341028224,6252140.354914078
Maghrebian restaurant,264030.68520922924,6253113.787116771
Asian restaurant,264555.8905667924,6252985.5015756665
Asian restaurant,264559.2301515152,6253006.487467898
Indian / Middle Eastern restaurant,264628.6935137701,6252956.899919199
Asian restaurant,264616.4483697826,6252968.069785373
Maghrebian restaurant,264916.8996754348,6252723.351546636
Central and South American restuarant,264523.3852754797,6252376.256409163
European restuarant,264555.8905667924,6252390.302401309
Asian restaurant,259399.46043375667,6245690.47070095
Traditional French restaurant,259530.70611340253,6245625.200218832
European restuarant,259173.48186744502,6245100.856376507
Traditional French restaurant,258933.58836478586,6245104.407128621
European restuarant,259423.72808274924,6244968.126947985
Indian / Middle Eastern restaurant,258814.81046810996,6245061.460036171
Asian restaurant,258674.2139512373,6245186.582093306
European restuarant,264283.04649485555,6256425.005065564
Traditional French restaurant,264184.52874550485,6255000.892291563
Asian restaurant,261673.2723527005,6253090.431556928
Traditional French restaurant,261821.5499144371,6253270.169481535
Central and South American restuarant,262162.07623677194,6253593.267302812
Traditional French restaurant,259757.2412771647,6250359.121553443
Traditional French restaurant,259757.2412771647,6250359.121553443
Asian restaurant,263003.6515871685,6253181.4847556595
Traditional French restaurant,262585.980857712,6253849.689487497
Maghrebian restaurant,262565.9433493693,6253763.368281024
Asian restaurant,264610.88239524356,6252417.040619419
European restuarant,264716.5245920049,6252453.763499623
Maghrebian restaurant,264466.6123351744,6252355.272078754
Asian restaurant,264568.580988742,6252203.98336454
Asian restaurant,264278.25975675235,6252183.67636032
Maghrebian restaurant,264303.5292811632,6252313.303573942
Asian restaurant,264141.0028246054,6252465.948084922
African restaurant,264382.3434806449,6252404.348416752
European restuarant,264142.7839364566,6252666.827039108
Indian / Middle Eastern restaurant,263649.19331427914,6252675.119533061
Traditional French restaurant,263848.4552027996,6252576.287072244
Asian restaurant,259720.72848418457,6254915.405744482
Central and South American restuarant,260098.65815542935,6254866.822685573
Asian restaurant,256271.16010348414,6253252.398612814
Asian restaurant,257096.26016924332,6253295.387254496
Traditional French restaurant,256994.62547414942,6253225.8270024955
Traditional French restaurant,256879.52112066725,6252922.713450636
African restaurant,263105.6202407361,6256634.61297667
Traditional French restaurant,262679.37791048863,6256905.519419857
Indian / Middle Eastern restaurant,262845.68922973424,6255579.345728437
African restaurant,263525.8513184797,6255341.492808377
Traditional French restaurant,265774.0597545418,6253714.453321324
African restaurant,262335.1780449573,6253494.42412506
Indian / Middle Eastern restaurant,262009.56853438544,6253073.845763691
Indian / Middle Eastern restaurant,262166.86297487793,6253037.458678065
Traditional French restaurant,262201.7059754952,6253131.557694593
Traditional French restaurant,261955.35594237002,6252921.86725267
Traditional French restaurant,262147.3820639886,6252729.782502535
Traditional French restaurant,263364.32673734013,6254244.239382038
Traditional French restaurant,263174.30436655524,6254305.8524367055
Indian / Middle Eastern restaurant,263123.5426787539,6254344.783993623
Asian restaurant,263410.74696500035,6254800.635064397
Maghrebian restaurant,263841.776033351,6254034.521383263
Asian restaurant,263965.7859460951,6253985.097074539
Central and South American restuarant,264017.77214829717,6253482.068808969
European restuarant,264171.727004064,6252319.564990893
Traditional French restaurant,264137.77455937094,6252389.287027601
European restuarant,263649.52727275284,6252589.994930276
Asian restaurant,264081.4468970306,6252173.522876476
European restuarant,263240.9847415406,6252429.225151879
Maghrebian restaurant,264124.52753996797,6252013.099447383
Traditional French restaurant,264096.6976672701,6251929.335256959
European restuarant,259435.3053097922,6249482.43274818
European restuarant,262230.64904310263,6251208.659007684
Traditional French restaurant,257347.8422184367,6253013.934087319
Asian restaurant,257208.35889647072,6253084.508055612
European restuarant,256869.8363249696,6252833.1861745855
European restuarant,257172.9592984001,6253106.678896086
European restuarant,255962.13719704092,6254087.161974563
Traditional French restaurant,255772.67142371222,6254094.778807482
Traditional French restaurant,257010.32152235103,6252793.584619076
European restuarant,257380.01355127568,6253084.338812782
Traditional French restaurant,258510.01770231663,6252375.24103714
Traditional French restaurant,258822.26887399144,6252623.3338874765
Asian restaurant,258691.13451383964,6253177.761371459
Asian restaurant,265757.80710888683,6253760.8294353355
Asian restaurant,265809.5706721036,6254016.74891026
Asian restaurant,265408.1525883049,6254203.954165634
Traditional French restaurant,264983.6913699086,6255474.554187816
Indian / Middle Eastern restaurant,262615.7031617552,6254517.439142513
Indian / Middle Eastern restaurant,262838.2308238499,6254968.898215447
Indian / Middle Eastern restaurant,262585.31294076744,6254915.575023925
Asian restaurant,263384.92084313615,6254860.390106339
European restuarant,262982.61220341036,6254513.884442185
European restuarant,263120.7596914844,6254532.335045833
European restuarant,263788.8992752248,6253031.704455584
Indian / Middle Eastern restaurant,261836.1327677292,6253042.705178438
Asian restaurant,261656.9083875515,6253170.483852515
Other world restaurant,261993.09324974802,6253362.070854935
European restuarant,262135.47087847194,6251178.371304158
Traditional French restaurant,262043.74361805813,6250968.560019175
European restuarant,261999.77241919655,6250991.232923669
Traditional French restaurant,261978.73303543558,6251004.769014987
Traditional French restaurant,261562.50945935943,6251009.3374506915
Traditional French restaurant,261963.48226519607,6250816.788482728
European restuarant,261594.34683372756,6250846.90569506
Traditional French restaurant,261601.35996164696,6250865.855906029
Asian restaurant,261551.93410773473,6250975.158843321
Asian restaurant,261476.9047709408,6251020.843151533
Traditional French restaurant,261723.5887625369,6250724.914726996
Traditional French restaurant,263018.1231209722,6249215.485325305
Traditional French restaurant,262533.8833360215,6250267.7603217345
European restuarant,260776.4825348674,6253451.772973217
Traditional French restaurant,260626.08990280583,6253380.688197564
European restuarant,260976.30102084397,6253682.125596479
Asian restaurant,260910.1772433119,6253366.132817107
Traditional French restaurant,260898.60001626893,6253419.107752201
Traditional French restaurant,260884.12848246525,6253507.28721302
Indian / Middle Eastern restaurant,260933.88829485115,6253346.83851414
Asian restaurant,261355.6778454663,6253157.621276185
European restuarant,264759.1599569802,6255384.661347331
Traditional French restaurant,265236.7205724824,6257214.3633412905
European restuarant,264157.9233872049,6257726.926889584
European restuarant,266041.5604909192,6255839.8912226865
Traditional French restaurant,266167.9081129678,6255891.357947764
European restuarant,262587.316691604,6253684.833673402
European restuarant,262759.30530487985,6253380.688197564
European restuarant,262549.8020232056,6252994.979068946
Asian restaurant,262980.71977206506,6254295.357873737
Asian restaurant,263191.11360966635,6254107.135017681
Traditional French restaurant,263286.2917742942,6254156.89856733
European restuarant,263251.7827321478,6254365.434718208
Traditional French restaurant,262459.96719413425,6253839.195489915
Traditional French restaurant,262329.7233899067,6253612.731420711
European restuarant,263017.2325650452,6252623.841588349
African restaurant,262913.14884115546,6252566.97928006
Asian restaurant,262726.5773745847,6252592.19495894
Traditional French restaurant,262534.2172944952,6252661.580771617
European restuarant,262458.4087212655,6252690.181430606
Asian restaurant,262497.37054304144,6252622.826186635
Maghrebian restaurant,263150.593315016,6252877.018881456
European restuarant,263571.4923097069,6253145.774183697
Traditional French restaurant,262699.5267383226,6250190.273234619
European restuarant,263002.98367022397,6250320.2083157515
Asian restaurant,262159.7385274645,6250655.8831684925
Asian restaurant,262128.1237920817,6250753.001257422
Traditional French restaurant,262417.5544681443,6250740.988332408
Asian restaurant,261817.09713480476,6252039.836474526
European restuarant,261260.94495880054,6253005.302779048
Traditional French restaurant,261315.71414827212,6253504.917695348
Traditional French restaurant,259021.53076251186,6252987.363225297
Traditional French restaurant,259201.0891011633,6253227.18096788
European restuarant,259188.28735972242,6253263.738115217
Indian / Middle Eastern restaurant,259182.27610721847,6253172.684031997
Traditional French restaurant,260420.70544229308,6253232.935323199
Other world restaurant,258958.96920868795,6252980.593592248
Traditional French restaurant,258995.7046406477,6253198.070759735
Asian restaurant,259077.3018273989,6253141.881571213
Asian restaurant,260313.95005062225,6253299.279937549
European restuarant,266793.6349707182,6254455.824548086
Traditional French restaurant,266320.6384543368,6254398.103590311
Indian / Middle Eastern restaurant,263471.97268493794,6254570.929099083
Central and South American restuarant,263554.79438608704,6254893.568725325
Traditional French restaurant,264021.2230525112,6253627.794986148
Asian restaurant,262158.5140130666,6253438.571469758
Traditional French restaurant,262169.0893646913,6253464.80524682
Indian / Middle Eastern restaurant,262166.86297487793,6253037.458678065
Indian / Middle Eastern restaurant,262166.86297487793,6253037.458678065
Indian / Middle Eastern restaurant,262166.86297487793,6253037.458678065
Other world restaurant,262001.55353104777,6252768.876050064
Asian restaurant,262263.5996123774,6252823.201149538
Asian restaurant,261792.16156886762,6252429.225151879
Asian restaurant,261915.83752313795,6252042.544026282
Asian restaurant,261956.13517880582,6251980.270554833
Asian restaurant,262427.79586129525,6252133.416734294
Maghrebian restaurant,262565.38675191597,6252295.196259079
Asian restaurant,260827.68950063366,6253175.0534566995
Other world restaurant,260772.69767218243,6253103.971004064
European restuarant,260218.54924701192,6253710.898958101
Indian / Middle Eastern restaurant,259958.95219448375,6253386.10415947
Asian restaurant,259887.37376190387,6253542.999309663
Asian restaurant,259709.81917408618,6253550.95415739
Asian restaurant,259520.90999821082,6253794.680773812
Asian restaurant,259604.62225528696,6253603.0839827685
Asian restaurant,265038.5718788715,6253362.409351706
Central and South American restuarant,265191.4135397288,6253501.532671257
Traditional French restaurant,265060.50181855663,6253644.212610459
Traditional French restaurant,258523.82131917577,6252818.462497706
Traditional French restaurant,258530.6118081155,6252842.155783396
Traditional French restaurant,262340.2987415314,6252934.89871073
Traditional French restaurant,263149.8140785802,6252670.042494983
Traditional French restaurant,263327.4799858863,6252912.389841224
European restuarant,263347.29485524935,6253080.107743038
Asian restaurant,262187.79103914485,6252953.176633746
African restaurant,262292.2087215111,6253236.8279775465
Traditional French restaurant,263242.32057542977,6254210.724776836
Traditional French restaurant,259546.2908421129,6249165.9199681375
Traditional French restaurant,259376.8625771241,6248983.393388929
Traditional French restaurant,259728.85480701344,6247928.740823567
Indian / Middle Eastern restaurant,259455.3428181349,6248066.252631519
Traditional French restaurant,259398.56987782964,6248119.025283338
Traditional French restaurant,259233.70571196437,6248177.549185502
Traditional French restaurant,264357.18527572526,6249283.6593108345
Traditional French restaurant,264282.15593893133,6249185.881408157
European restuarant,260383.63605185962,6254645.409348325
Asian restaurant,260214.9870233066,6254568.220738728
Asian restaurant,260222.22279020844,6254590.734010502
Traditional French restaurant,260208.1965343697,6254428.233542635
Traditional French restaurant,260200.29285052328,6254516.254242239
Asian restaurant,260174.9120066212,6254405.889972206
European restuarant,260442.19010401616,6254262.858664473
Indian / Middle Eastern restaurant,260297.02948802273,6254149.281678528
Asian restaurant,260101.10718422517,6254379.314741733
Asian restaurant,260051.90396929544,6254441.098049324
Maghrebian restaurant,260028.08159826495,6254471.058884102
Indian / Middle Eastern restaurant,260107.3410757116,6253980.527033166
Traditional French restaurant,260173.57617273205,6253984.58929204
Traditional French restaurant,257920.58099856673,6253020.1960223615
European restuarant,258082.10557970914,6253098.216736386
Traditional French restaurant,258218.13799745822,6253464.297495527
Asian restaurant,258032.45708681445,6253404.721554937
Traditional French restaurant,257822.28588819565,6253307.234556313
Traditional French restaurant,258724.86431954743,6254976.17728034
Traditional French restaurant,258998.93290588213,6255063.187982446
Traditional French restaurant,259037.89472765804,6254714.981263903
Traditional French restaurant,263483.104634016,6253161.006162798
Traditional French restaurant,261778.0239935348,6250891.912515345
Asian restaurant,261613.60510563446,6250728.12944564
Traditional French restaurant,261732.82828027246,6251239.623643375
Traditional French restaurant,262041.6285477332,6250260.823675878
Asian restaurant,263208.59076971916,6244494.375928692
European restuarant,261628.74455638274,6253358.008894708
Traditional French restaurant,264107.2730188948,6249806.062800719
Asian restaurant,264072.31869878626,6249150.356844149
Asian restaurant,264190.6513174972,6248857.707771569
Traditional French restaurant,266228.57723545213,6247856.518418704
European restuarant,266003.266586085,6248043.2492707865
European restuarant,260486.7179003339,6254696.191712106
Traditional French restaurant,259125.39184742197,6253841.395843172
Asian restaurant,261112.22211910182,6253523.535352064
Asian restaurant,261105.87690812701,6253719.53098566
Traditional French restaurant,261104.42975474664,6253699.558856848
Asian restaurant,261398.53584942123,6253826.670413056
Traditional French restaurant,261297.23511280102,6253891.834866852
European restuarant,260726.50008350186,6253810.421692305
Traditional French restaurant,260592.47141658646,6253896.57411942
Traditional French restaurant,261070.69994903603,6253346.5000179885
Traditional French restaurant,261061.23779231802,6253322.128330684
Maghrebian restaurant,261123.02010970897,6253505.763951586
Central and South American restuarant,260535.69847628401,6254007.439534531
Traditional French restaurant,258968.4313654031,6254206.662409465
Asian restaurant,259132.73893381504,6254118.3064013235
Asian restaurant,259312.74255042855,6254354.263008492
Traditional French restaurant,259240.3848814129,6255009.187071774
European restuarant,259112.9240644548,6255097.383094584
Asian restaurant,257717.64556684977,6253455.327227666
Asian restaurant,262860.0494440467,6250279.434201984
Traditional French restaurant,262438.81649088487,6250533.048992484
Traditional French restaurant,262428.129819769,6250539.478285339
Asian restaurant,262405.6432826276,6250537.447981806
European restuarant,262231.3169600472,6250603.0947092725
Traditional French restaurant,262177.994923956,6250601.741163362
Asian restaurant,262174.3213807595,6250635.579876011
Traditional French restaurant,262294.1011528536,6250718.654488933
Other world restaurant,262532.1022241703,6250743.187880783
Traditional French restaurant,262471.54442117724,6250631.519223353
Other world restaurant,262513.066591243,6250766.536967993
Other world restaurant,262552.58501047513,6250743.69546895
Other world restaurant,262617.37295411807,6250483.13754291
European restuarant,262632.1784463926,6250509.362166182
Asian restaurant,258696.92312735828,6248731.009083799
Asian restaurant,258323.78019421955,6248650.6604306465
Asian restaurant,258162.3669325712,6248835.209735367
Indian / Middle Eastern restaurant,259156.0047073922,6248586.551209818
Indian / Middle Eastern restaurant,259156.0047073922,6248586.551209818
Other world restaurant,258384.56063619506,6249208.718706549
European restuarant,265764.2636393529,6247920.960394387
Traditional French restaurant,265609.75218612986,6246883.690196299
Asian restaurant,265565.5583482858,6246892.653506964
Asian restaurant,265269.8937807396,6247353.177491899
European restuarant,265747.1204377709,6247182.528703713
Asian restaurant,265096.9032920455,6247551.56737127
Traditional French restaurant,264151.0215787767,6248504.174110611
Asian restaurant,264831.74026497547,6248658.948993295
Asian restaurant,264594.51843009744,6248643.0484925
Traditional French restaurant,265110.4842699222,6248615.983878928
Traditional French restaurant,261639.5425469899,6245679.648617332
Traditional French restaurant,261455.97670667106,6245608.459943036
Asian restaurant,263767.5259329929,6246872.020994739
European restuarant,263704.6304206953,6246725.396310064
Asian restaurant,262506.83269975946,6245755.234396473
Asian restaurant,262384.2699403958,6245991.29633872
Asian restaurant,262605.7957270751,6245431.759048795
Asian restaurant,262783.6842733608,6244812.066852479
Traditional French restaurant,257616.34483022956,6254010.824760886
Traditional French restaurant,257595.08280748894,6254009.639931507
Asian restaurant,258926.24127839276,6253363.932587355
Maghrebian restaurant,257945.62788399513,6253750.843316332
European restuarant,258300.95969860733,6253681.617832148
European restuarant,258525.04583357368,6253820.407881575
Traditional French restaurant,258409.71884111187,6253896.74337849
Asian restaurant,262718.33973226737,6250431.365299223
Traditional French restaurant,263033.039932738,6250389.913894327
Central and South American restuarant,263535.53611418017,6250430.519350157
Traditional French restaurant,263525.40604051756,6250004.51013533
Asian restaurant,262372.69271335285,6251987.54705097
Maghrebian restaurant,262366.23618288676,6251902.598578697
European restuarant,259137.7483109007,6249223.436109251
Other world restaurant,259540.8361870623,6249941.913287382
Maghrebian restaurant,263891.31320675445,6250029.041458675
Traditional French restaurant,265341.24957433704,6248837.747104882
European restuarant,265245.73745123827,6248894.584381202
European restuarant,265158.1290119831,6249489.030414594
Traditional French restaurant,265067.84890494973,6249433.034998827
Maghrebian restaurant,264628.3595552964,6249065.43682346
Asian restaurant,264521.1588856635,6249271.310136285
Traditional French restaurant,264589.0637750468,6249563.127636489
Asian restaurant,262906.80363018066,6244753.90434513
Asian restaurant,262884.9850099839,6244744.097915196
Maghrebian restaurant,260678.96666093494,6245309.507859417
Asian restaurant,263324.6969986168,6244271.204754068
Asian restaurant,262852.5910381624,6245171.195362326
Asian restaurant,262820.86498328834,6245232.573367855
Indian / Middle Eastern restaurant,258283.81649702537,6254517.269871036
Asian restaurant,259983.44248245878,6254584.132368214
European restuarant,260201.0720869591,6254451.762063107
Indian / Middle Eastern restaurant,260201.0720869591,6254451.762063107
Asian restaurant,262480.3386609507,6251865.539651577
Traditional French restaurant,262534.8852114398,6251714.598117005
Traditional French restaurant,262978.3820627605,6251435.735631888
Asian restaurant,263132.8935159807,6251501.896956184
European restuarant,263097.7165568897,6251766.716638754
European restuarant,263006.7685329117,6251787.530293879
Traditional French restaurant,263003.6515871685,6251764.686040993
European restuarant,263012.33450745075,6251778.392585328
European restuarant,263027.91923616396,6251978.9167888025
Traditional French restaurant,264060.85279123456,6250324.607194529
Asian restaurant,264592.18072079,6249994.86680699
European restuarant,264778.8635068492,6249646.19173117
European restuarant,265140.65185192745,6250085.548363448
Indian / Middle Eastern restaurant,265253.7524545731,6249536.90594276
Traditional French restaurant,265299.05948732665,6250422.229053774
European restuarant,265178.3891593083,6250255.917271261
Asian restaurant,264536.29833641177,6249458.57968941
Traditional French restaurant,263886.0811906892,6248687.366983953
Asian restaurant,263856.9154840993,6248894.584381202
Traditional French restaurant,263921.36946926854,6248972.736258842
Traditional French restaurant,263838.21380964573,6248948.715475111
European restuarant,263875.283200082,6249973.550014875
Traditional French restaurant,264785.9879542598,6249295.839336245
Asian restaurant,263841.2194358977,6248702.421791442
European restuarant,264106.04850449687,6247271.319765146
Asian restaurant,262731.4754321791,6247622.941507694
Indian / Middle Eastern restaurant,262412.09981309366,6247453.471198094
European restuarant,262206.04743563634,6247369.413829218
Asian restaurant,262206.04743563634,6247369.413829218
European restuarant,261903.48105965919,6247223.287913517
Asian restaurant,262139.58969963342,6246688.529141512
European restuarant,263385.8113990632,6246678.720472311
Asian restaurant,262749.3978701969,6245466.591660751
Asian restaurant,263361.2097915969,6244957.136706345
Asian restaurant,263290.29927596165,6245522.560866255
Asian restaurant,263000.20068295446,6244898.635044538
Asian restaurant,263005.32137953135,6245012.257138738
Traditional French restaurant,262583.86578738707,6246992.603519261
Indian / Middle Eastern restaurant,264363.1965282292,6246002.287921774
Indian / Middle Eastern restaurant,260188.04770653576,6254161.13017518
Traditional French restaurant,260257.84502726153,6254166.208107392
European restuarant,260189.60617940736,6254056.186924621
European restuarant,260208.86445131426,6254160.1145891035
Asian restaurant,259107.3580899158,6253917.900788796
Traditional French restaurant,259236.93397719882,6254668.769197832
Asian restaurant,259232.92647552857,6254862.421446621
Indian / Middle Eastern restaurant,259523.02506853576,6254418.923714455
Traditional French restaurant,259735.7566154416,6254003.885048314
European restuarant,259631.00497460447,6254242.0389240915
Traditional French restaurant,263106.95607462525,6252245.443649354
European restuarant,262895.3377226289,6252270.319917677
Other world restaurant,263069.3300867385,6252015.299326176
European restuarant,263366.10784919135,6251490.559812765
Traditional French restaurant,261592.00912442015,6252543.286764299
Indian / Middle Eastern restaurant,264918.4581483036,6250041.22255597
Asian restaurant,264367.0927104054,6250279.772575561
Asian restaurant,264234.3998773792,6250002.818322548
Asian restaurant,264285.384204163,6249965.090985256
Indian / Middle Eastern restaurant,264032.6889600629,6250188.243014791
Traditional French restaurant,264005.9722822717,6249886.084056539
Asian restaurant,264555.6679278099,6250526.958087964
European restuarant,264740.2356435442,6250629.996479111
European restuarant,262533.54937755066,6246890.9623155445
Traditional French restaurant,256864.15903093934,6250974.482040608
Traditional French restaurant,256882.19278844836,6250873.131444719
Traditional French restaurant,256877.4060503423,6250983.1112792585
Traditional French restaurant,257055.96251357545,6251318.981614576
Indian / Middle Eastern restaurant,257055.96251357545,6251318.981614576
European restuarant,256882.08146895713,6251123.041533257
Asian restaurant,256676.14041098818,6251264.666163794
Traditional French restaurant,256699.40618456533,6251191.907694579
European restuarant,256321.81047179425,6250515.622249553
Traditional French restaurant,263761.1807220181,6246578.435937042
European restuarant,264049.0529252091,6245958.152574603
Asian restaurant,264050.5000785895,6245746.441385271
Asian restaurant,263612.23524333694,6245096.629292588
Traditional French restaurant,264060.29619377834,6245276.366762025
Traditional French restaurant,262215.6209118428,6244742.069000075
European restuarant,259729.522723958,6254878.67218643
Traditional French restaurant,259651.3764414209,6255127.854102962
Traditional French restaurant,259994.1291535747,6254753.40687355
European restuarant,260173.35353374959,6253946.674951661
European restuarant,259520.90999821082,6253794.680773812
Traditional French restaurant,259159.23297262378,6253092.462472617
Traditional French restaurant,261348.3307590732,6251996.17732193
Caribbean restaurant,261378.27570209606,6251944.057387994
Central and South American restuarant,261315.38018979842,6251936.950149125
Traditional French restaurant,261315.38018979842,6251936.950149125
Traditional French restaurant,261424.91856873874,6251835.926470219
Asian restaurant,261555.16237296636,6251779.5771025475
Asian restaurant,261638.54067157162,6251825.2657502815
Asian restaurant,261631.8615021231,6251901.075605894
Asian restaurant,261488.92727594587,6249496.812284143
European restuarant,261643.884007131,6249652.112828087
Traditional French restaurant,263625.148304269,6251025.411595905
Central and South American restuarant,263663.6648480828,6250644.5471575195
Traditional French restaurant,264234.95647483534,6251569.074072603
Asian restaurant,264383.67931453406,6251350.961902732
Asian restaurant,265039.90771276056,6250598.018913226
Traditional French restaurant,263240.9847415406,6252429.225151879
Traditional French restaurant,264667.32137707516,6251684.308604014
Asian restaurant,259042.6814657641,6249001.155302208
Traditional French restaurant,258562.22654349834,6248514.830651232
Traditional French restaurant,258240.0679371434,6248741.1584415715
Traditional French restaurant,258087.78287373937,6248982.209262702
Other world restaurant,258699.5947951394,6249154.585951102
Indian / Middle Eastern restaurant,258253.0923175667,6247155.299631316
Asian restaurant,257070.76800585003,6246644.728447945
Traditional French restaurant,256852.69312338764,6246560.002652451
Asian restaurant,256787.57122127383,6246767.844487217
Traditional French restaurant,256684.37805330832,6246606.677836175
European restuarant,256708.42306331842,6246801.498770848
European restuarant,256521.07236031466,6246677.705783046
Traditional French restaurant,256363.77791982214,6246388.693402868
Traditional French restaurant,256358.2119452831,6246374.9955768855
Traditional French restaurant,255613.48455187722,6246138.584736279
European restuarant,256375.57778584756,6246466.314835075
European restuarant,256262.3658637107,6246776.807675322
Indian / Middle Eastern restaurant,255753.4131518025,6246479.167254126
Asian restaurant,255537.7872981359,6246786.954692171
Traditional French restaurant,259786.85226171665,6253154.067146701
European restuarant,260019.9552754389,6253052.521220126
Traditional French restaurant,260019.9552754389,6253052.521220126
Asian restaurant,260252.72433068746,6253978.326643755
Asian restaurant,259899.6189058914,6253303.849611245
Indian / Middle Eastern restaurant,259898.950988944,6253411.660776448
Traditional French restaurant,259885.8152890323,6253430.785977365
Asian restaurant,259758.68843054504,6253548.923131729
Central and South American restuarant,261647.66886981594,6249422.377303016
Traditional French restaurant,261686.51937210344,6249401.400290113
Asian restaurant,261984.29900997458,6249383.806706445
Central and South American restuarant,262041.07195027987,6249243.566850902
Traditional French restaurant,262068.90182297776,6249143.759441526
Asian restaurant,263523.9588871372,6250120.907666273
Traditional French restaurant,261653.12352486656,6250236.968424947
Indian / Middle Eastern restaurant,265170.930753424,6250331.374704801
European restuarant,263862.0361806762,6250073.7055677455
Traditional French restaurant,263837.2119342303,6250076.243308288
Asian restaurant,265106.2541292723,6251287.001447177
European restuarant,265654.5026214301,6250994.27854233
Asian restaurant,265857.43805314705,6250839.460980923
Asian restaurant,259025.76090316175,6252929.82151689
European restuarant,259067.17175373912,6253099.909167646
Asian restaurant,259086.43002564603,6253178.7768397145
Asian restaurant,260824.4612353992,6253285.232437559
Asian restaurant,260778.26364672146,6253330.929209675
Asian restaurant,260503.63846293342,6253867.461609841
European restuarant,260118.25038580713,6254394.041133028
Traditional French restaurant,255027.61007183263,6246365.863705198
Traditional French restaurant,254784.59962343026,6246543.091417457
Maghrebian restaurant,255939.53934041117,6245875.124632653
European restuarant,253994.34255828834,6246976.53702489
European restuarant,254749.31134484804,6247462.096850533
Indian / Middle Eastern restaurant,254575.43030022972,6247392.922747771
European restuarant,254850.72340096234,6246872.35923224
Traditional French restaurant,254910.72460649922,6246728.102163613
Traditional French restaurant,254783.37510903235,6246879.63134176
Traditional French restaurant,254838.9235349369,6246912.6095911795
Asian restaurant,254838.58957646604,6246976.367904059
Asian restaurant,255060.33800212498,6246861.704757464
Asian restaurant,261273.19010278807,6254852.603306436
Asian restaurant,261208.51347863636,6254618.494819014
Asian restaurant,261042.75875684692,6254074.298005638
Asian restaurant,260978.86136913102,6254008.455102295
Asian restaurant,260984.31602417878,6254030.628362179
Asian restaurant,261136.82372656526,6254270.30638891
Maghrebian restaurant,260848.06096745006,6254381.684504122
Traditional French restaurant,260643.90102133522,6250615.953406205
Asian restaurant,260684.19867700027,6251188.185185059
European restuarant,261371.15125468542,6251183.616652879
Indian / Middle Eastern restaurant,261202.390906644,6251173.971981929
Central and South American restuarant,261342.54214555174,6251170.418684872
Asian restaurant,261163.31776537403,6251190.384849579
Traditional French restaurant,261101.5354479859,6251233.870642392
Traditional French restaurant,261039.08521365037,6251357.39181652
Traditional French restaurant,260960.71629213076,6251382.603893998
Indian / Middle Eastern restaurant,260776.92781283232,6251313.566974566
Traditional French restaurant,260941.34670073263,6251393.9408928985
